day_order,day,tray,tray_no,capture_id,required_bands_present,duplicate_bands,unreadable_bands,ms_dimensions_match,ms_dimensions,lowest_coverage_percent,preview_path,status,notes
1,Day 1,Tray 1,1,DJI_20260618124632_0008,Yes,,,Yes,"[(1381, 878)]",99.995,Day 1\Tray 1\DJI_20260618124632_0008_crop_qa_preview.png,PASS,All automatic checks passed.
1,Day 1,Tray 2,2,DJI_20260618124541_0007,Yes,,,Yes,"[(1371, 871)]",99.992,Day 1\Tray 2\DJI_20260618124541_0007_crop_qa_preview.png,PASS,All automatic checks passed.
1,Day 1,Tray 3,3,DJI_20260618124235_0004,Yes,,,Yes,"[(1373, 868)]",100.0,Day 1\Tray 3\DJI_20260618124235_0004_crop_qa_preview.png,PASS,All automatic checks passed.
1,Day 1,Tray 4,4,DJI_20260618124331_0005,Yes,,,Yes,"[(1383, 876)]",100.0,Day 1\Tray 4\DJI_20260618124331_0005_crop_qa_preview.png,PASS,All automatic checks passed.
1,Day 1,Tray 5,5,DJI_20260618124449_0006,Yes,,,Yes,"[(1361, 858)]",99.987,Day 1\Tray 5\DJI_20260618124449_0006_crop_qa_preview.png,PASS,All automatic checks passed.
1,Day 1,Tray 6,6,DJI_20260618123542_0001,Yes,,,Yes,"[(1386, 883)]",99.999,Day 1\Tray 6\DJI_20260618123542_0001_crop_qa_preview.png,PASS,All automatic checks passed.
1,Day 1,Tray 7,7,DJI_20260618123812_0002,Yes,,,Yes,"[(1376, 875)]",99.999,Day 1\Tray 7\DJI_20260618123812_0002_crop_qa_preview.png,PASS,All automatic checks passed.
1,Day 1,Tray 8,8,DJI_20260618124121_0003,Yes,,,Yes,"[(1382, 862)]",99.992,Day 1\Tray 8\DJI_20260618124121_0003_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 1,1,DJI_20260620131000_0001,Yes,,,Yes,"[(1376, 877)]",99.991,Day 2\Tray 1\DJI_20260620131000_0001_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 2,2,DJI_20260620131052_0002,Yes,,,Yes,"[(1371, 873)]",99.99,Day 2\Tray 2\DJI_20260620131052_0002_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 3,3,DJI_20260620131152_0003,Yes,,,Yes,"[(1380, 866)]",99.998,Day 2\Tray 3\DJI_20260620131152_0003_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 4,4,DJI_20260620131233_0004,Yes,,,Yes,"[(1380, 868)]",100.0,Day 2\Tray 4\DJI_20260620131233_0004_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 5,5,DJI_20260620131340_0005,Yes,,,Yes,"[(1371, 866)]",99.975,Day 2\Tray 5\DJI_20260620131340_0005_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 6,6,DJI_20260620131437_0006,Yes,,,Yes,"[(1374, 867)]",100.0,Day 2\Tray 6\DJI_20260620131437_0006_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 7,7,DJI_20260620131539_0007,Yes,,,Yes,"[(1380, 863)]",99.999,Day 2\Tray 7\DJI_20260620131539_0007_crop_qa_preview.png,PASS,All automatic checks passed.
2,Day 2,Tray 8,8,DJI_20260620131623_0008,Yes,,,Yes,"[(1378, 875)]",99.951,Day 2\Tray 8\DJI_20260620131623_0008_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 1,1,DJI_20260621125425_0001,Yes,,,Yes,"[(1367, 875)]",99.999,Day 3\Tray 1\DJI_20260621125425_0001_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 2,2,DJI_20260621125542_0002,Yes,,,Yes,"[(1368, 867)]",99.784,Day 3\Tray 2\DJI_20260621125542_0002_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 3,3,DJI_20260621125701_0003,Yes,,,Yes,"[(1388, 869)]",99.999,Day 3\Tray 3\DJI_20260621125701_0003_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 4,4,DJI_20260621125808_0004,Yes,,,Yes,"[(1384, 867)]",100.0,Day 3\Tray 4\DJI_20260621125808_0004_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 5,5,DJI_20260621125931_0005,Yes,,,Yes,"[(1379, 869)]",99.998,Day 3\Tray 5\DJI_20260621125931_0005_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 6,6,DJI_20260621125958_0006,Yes,,,Yes,"[(1373, 877)]",100.0,Day 3\Tray 6\DJI_20260621125958_0006_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 7,7,DJI_20260621130023_0008,Yes,,,Yes,"[(1380, 866)]",99.999,Day 3\Tray 7\DJI_20260621130023_0008_crop_qa_preview.png,PASS,All automatic checks passed.
3,Day 3,Tray 8,8,DJI_20260621130058_0009,Yes,,,Yes,"[(1384, 887)]",99.993,Day 3\Tray 8\DJI_20260621130058_0009_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 1,1,DJI_20260622122222_0001,Yes,,,Yes,"[(1379, 860)]",99.972,Day 4\Tray 1\DJI_20260622122222_0001_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 2,2,DJI_20260622122329_0002,Yes,,,Yes,"[(1380, 868)]",99.989,Day 4\Tray 2\DJI_20260622122329_0002_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 3,3,DJI_20260622122437_0003,Yes,,,Yes,"[(1370, 867)]",99.999,Day 4\Tray 3\DJI_20260622122437_0003_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 4,4,DJI_20260622122526_0004,Yes,,,Yes,"[(1382, 871)]",100.0,Day 4\Tray 4\DJI_20260622122526_0004_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 5,5,DJI_20260622122624_0005,Yes,,,Yes,"[(1370, 862)]",99.984,Day 4\Tray 5\DJI_20260622122624_0005_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 6,6,DJI_20260622122657_0006,Yes,,,Yes,"[(1368, 869)]",100.0,Day 4\Tray 6\DJI_20260622122657_0006_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 7,7,DJI_20260622122752_0007,Yes,,,Yes,"[(1386, 875)]",99.999,Day 4\Tray 7\DJI_20260622122752_0007_crop_qa_preview.png,PASS,All automatic checks passed.
4,Day 4,Tray 8,8,DJI_20260622122838_0008,Yes,,,Yes,"[(1386, 873)]",99.989,Day 4\Tray 8\DJI_20260622122838_0008_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 1,1,DJI_20260623123614_0001,Yes,,,Yes,"[(1371, 877)]",99.996,Day 5\Tray 1\DJI_20260623123614_0001_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 2,2,DJI_20260623123731_0002,Yes,,,Yes,"[(1373, 867)]",99.996,Day 5\Tray 2\DJI_20260623123731_0002_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 3,3,DJI_20260623123926_0003,Yes,,,Yes,"[(1389, 869)]",99.998,Day 5\Tray 3\DJI_20260623123926_0003_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 4,4,DJI_20260623123956_0004,Yes,,,Yes,"[(1382, 875)]",99.998,Day 5\Tray 4\DJI_20260623123956_0004_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 5,5,DJI_20260623124057_0005,Yes,,,Yes,"[(1375, 871)]",99.999,Day 5\Tray 5\DJI_20260623124057_0005_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 6,6,DJI_20260623124159_0006,Yes,,,Yes,"[(1380, 857)]",100.0,Day 5\Tray 6\DJI_20260623124159_0006_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 7,7,DJI_20260623124307_0007,Yes,,,Yes,"[(1378, 880)]",99.999,Day 5\Tray 7\DJI_20260623124307_0007_crop_qa_preview.png,PASS,All automatic checks passed.
5,Day 5,Tray 8,8,DJI_20260623124403_0008,Yes,,,Yes,"[(1378, 874)]",99.997,Day 5\Tray 8\DJI_20260623124403_0008_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 1,1,DJI_20260627101229_0001,Yes,,,Yes,"[(1373, 868)]",99.91,Day 9\Tray 1\DJI_20260627101229_0001_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 2,2,DJI_20260627101425_0002,Yes,,,Yes,"[(1374, 881)]",99.931,Day 9\Tray 2\DJI_20260627101425_0002_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 3,3,DJI_20260627101610_0003,Yes,,,Yes,"[(1388, 881)]",99.998,Day 9\Tray 3\DJI_20260627101610_0003_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 4,4,DJI_20260627101707_0004,Yes,,,Yes,"[(1382, 873)]",99.999,Day 9\Tray 4\DJI_20260627101707_0004_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 5,5,DJI_20260627101808_0005,Yes,,,Yes,"[(1373, 883)]",99.829,Day 9\Tray 5\DJI_20260627101808_0005_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 6,6,DJI_20260627101858_0006,Yes,,,Yes,"[(1388, 866)]",99.997,Day 9\Tray 6\DJI_20260627101858_0006_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 7,7,DJI_20260627101933_0007,Yes,,,Yes,"[(1380, 877)]",99.996,Day 9\Tray 7\DJI_20260627101933_0007_crop_qa_preview.png,PASS,All automatic checks passed.
9,Day 9,Tray 8,8,DJI_20260627102037_0008,Yes,,,Yes,"[(1380, 892)]",99.89,Day 9\Tray 8\DJI_20260627102037_0008_crop_qa_preview.png,PASS,All automatic checks passed.
