day_order,day,tray,tray_no,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,grid_error,coordinate_source,needs_review
1,Day 1,Tray 1,1,DJI_20260618124632_0008,1,1,1,208.835,221.492,62.103,74.759,355.567,368.224,293.465,0.0114,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,2,1,2,584.316,223.601,437.584,76.869,731.049,370.334,293.465,0.007,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,3,1,3,966.126,223.601,819.393,76.869,1112.858,370.334,293.465,0.0024,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,4,1,4,1345.826,223.601,1199.093,76.869,1492.558,370.334,293.465,0.0058,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,5,1,5,1727.635,223.601,1580.903,76.869,1874.367,370.334,293.465,0.0061,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,6,1,6,2103.116,229.929,1956.384,83.197,2249.849,376.662,293.465,0.0213,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,7,1,7,2489.144,225.711,2342.412,78.978,2635.877,372.443,293.465,0.0067,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,8,1,8,2877.282,234.148,2730.55,87.416,3024.015,380.881,293.465,0.0256,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,9,1,9,3248.544,223.601,3101.812,76.869,3395.277,370.334,293.465,0.0218,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,10,1,10,3626.135,236.258,3479.403,89.525,3772.867,382.99,293.465,0.0249,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,11,2,1,204.616,548.456,57.884,401.723,351.349,695.188,293.465,0.0058,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,12,2,2,588.535,542.127,441.803,395.395,735.267,688.86,293.465,0.0226,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,13,2,3,964.016,548.456,817.284,401.723,1110.749,695.188,293.465,0.004,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,14,2,4,1345.826,546.346,1199.093,399.614,1492.558,693.079,293.465,0.0124,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,15,2,5,1727.635,546.346,1580.903,399.614,1874.367,693.079,293.465,0.0161,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,16,2,6,2109.444,552.674,1962.712,405.942,2256.177,699.407,293.465,0.0061,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,17,2,7,2489.144,554.784,2342.412,408.051,2635.877,701.516,293.465,0.0041,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,18,2,8,2870.954,559.003,2724.221,412.27,3017.686,705.735,293.465,0.0138,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,19,2,9,3250.654,554.784,3103.921,408.051,3397.386,701.516,293.465,0.0046,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,20,2,10,3626.135,565.331,3479.403,418.599,3772.867,712.064,293.465,0.0286,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,21,3,1,200.397,871.201,53.665,724.468,347.13,1017.933,293.465,0.0069,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,22,3,2,577.988,875.419,431.255,728.687,724.72,1022.152,293.465,0.0144,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,23,3,3,964.016,871.201,817.284,724.468,1110.749,1017.933,293.465,0.0128,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,24,3,4,1343.716,879.638,1196.984,732.906,1490.449,1026.371,293.465,0.0099,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,25,3,5,1725.526,881.748,1578.793,735.015,1872.258,1028.48,293.465,0.0129,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,26,3,6,2107.335,877.529,1960.603,730.796,2254.067,1024.261,293.465,0.0061,direct_cup_evidence,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,27,3,7,2495.473,881.748,2348.74,735.015,2642.205,1028.48,293.465,0.028,direct_cup_evidence,No
