day_order,day,tray,tray_no,capture_id,source_d,method,cells_generated,candidate_count,direct_cell_count,uncertain_cell_count,uncertain_cell_ids,square_side,median_grid_error,max_grid_error,review_required,overlay_path,status,notes
1,Day 1,Tray 1,1,DJI_20260618124632_0008,Day 1\Tray 1\DJI_20260618124632_0008_D.JPG,automatic_global_square_grid,70,160,70,0,,293.465,0.0152,0.1059,No,Day 1\Tray 1\DJI_20260618124632_0008_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
1,Day 1,Tray 2,2,DJI_20260618124541_0007,Day 1\Tray 2\DJI_20260618124541_0007_D.JPG,automatic_global_square_grid,70,160,70,0,,293.033,0.0227,0.1419,No,Day 1\Tray 2\DJI_20260618124541_0007_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
1,Day 1,Tray 3,3,DJI_20260618124235_0004,Day 1\Tray 3\DJI_20260618124235_0004_D.JPG,automatic_global_square_grid,70,160,70,0,,294.127,0.0178,0.1604,No,Day 1\Tray 3\DJI_20260618124235_0004_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
1,Day 1,Tray 4,4,DJI_20260618124331_0005,Day 1\Tray 4\DJI_20260618124331_0005_D.JPG,automatic_global_square_grid,70,160,69,1,50,292.162,0.0366,0.2622,No,Day 1\Tray 4\DJI_20260618124331_0005_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
1,Day 1,Tray 5,5,DJI_20260618124449_0006,Day 1\Tray 5\DJI_20260618124449_0006_D.JPG,automatic_global_square_grid,70,160,70,0,,296.32,0.0251,0.1369,No,Day 1\Tray 5\DJI_20260618124449_0006_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
1,Day 1,Tray 6,6,DJI_20260618123542_0001,Day 1\Tray 6\DJI_20260618123542_0001_D.JPG,automatic_global_square_grid,70,160,70,0,,285.127,0.076,0.2058,No,Day 1\Tray 6\DJI_20260618123542_0001_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
1,Day 1,Tray 7,7,DJI_20260618123812_0002,Day 1\Tray 7\DJI_20260618123812_0002_D.JPG,automatic_global_square_grid,70,160,70,0,,295.43,0.0166,0.1175,No,Day 1\Tray 7\DJI_20260618123812_0002_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
1,Day 1,Tray 8,8,DJI_20260618124121_0003,Day 1\Tray 8\DJI_20260618124121_0003_D.JPG,automatic_global_square_grid,70,160,70,0,,294.156,0.0169,0.2047,No,Day 1\Tray 8\DJI_20260618124121_0003_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 1,1,DJI_20260620131000_0001,Day 2\Tray 1\DJI_20260620131000_0001_D.JPG,automatic_global_square_grid,70,160,70,0,,316.062,0.0176,0.1805,No,Day 2\Tray 1\DJI_20260620131000_0001_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 2,2,DJI_20260620131052_0002,Day 2\Tray 2\DJI_20260620131052_0002_D.JPG,automatic_global_square_grid,70,160,70,0,,317.309,0.0229,0.1596,No,Day 2\Tray 2\DJI_20260620131052_0002_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 3,3,DJI_20260620131152_0003,Day 2\Tray 3\DJI_20260620131152_0003_D.JPG,automatic_global_square_grid,70,160,70,0,,315.483,0.0151,0.0995,No,Day 2\Tray 3\DJI_20260620131152_0003_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 4,4,DJI_20260620131233_0004,Day 2\Tray 4\DJI_20260620131233_0004_D.JPG,automatic_global_square_grid,70,160,70,0,,315.145,0.018,0.1791,No,Day 2\Tray 4\DJI_20260620131233_0004_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 5,5,DJI_20260620131340_0005,Day 2\Tray 5\DJI_20260620131340_0005_D.JPG,automatic_global_square_grid,70,160,70,0,,318.52,0.0249,0.1543,No,Day 2\Tray 5\DJI_20260620131340_0005_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 6,6,DJI_20260620131437_0006,Day 2\Tray 6\DJI_20260620131437_0006_D.JPG,automatic_global_square_grid,70,160,70,0,,315.074,0.019,0.218,No,Day 2\Tray 6\DJI_20260620131437_0006_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 7,7,DJI_20260620131539_0007,Day 2\Tray 7\DJI_20260620131539_0007_D.JPG,automatic_global_square_grid,70,160,70,0,,314.043,0.021,0.2212,No,Day 2\Tray 7\DJI_20260620131539_0007_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
2,Day 2,Tray 8,8,DJI_20260620131623_0008,Day 2\Tray 8\DJI_20260620131623_0008_D.JPG,automatic_global_square_grid,70,160,70,0,,318.712,0.034,0.2198,No,Day 2\Tray 8\DJI_20260620131623_0008_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
3,Day 3,Tray 1,1,DJI_20260621125425_0001,Day 3\Tray 1\DJI_20260621125425_0001_D.JPG,automatic_global_square_grid,70,160,70,0,,266.273,0.0173,0.1413,No,Day 3\Tray 1\DJI_20260621125425_0001_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
3,Day 3,Tray 2,2,DJI_20260621125542_0002,Day 3\Tray 2\DJI_20260621125542_0002_D.JPG,automatic_global_square_grid,70,160,70,0,,231.076,0.0229,0.1711,No,Day 3\Tray 2\DJI_20260621125542_0002_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
3,Day 3,Tray 3,3,DJI_20260621125701_0003,Day 3\Tray 3\DJI_20260621125701_0003_D.JPG,automatic_global_square_grid,70,160,70,0,,228.148,0.0202,0.1044,No,Day 3\Tray 3\DJI_20260621125701_0003_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
3,Day 3,Tray 4,4,DJI_20260621125808_0004,Day 3\Tray 4\DJI_20260621125808_0004_D.JPG,automatic_global_square_grid,70,160,70,0,,248.093,0.0282,0.1306,No,Day 3\Tray 4\DJI_20260621125808_0004_70_square_grid_overlay.jpg,PASS_AUTO,Global square grid fitted successfully. Only routine spot checks are recommended.
