day_order,day,tray,tray_no,capture_id,cell_id,row,column,raw_current_green_evidence,tracked_visible_emerged,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,green_pixels,largest_green_component,green_area_percent,square_side,coordinate_source,square_x0,square_y0,square_x1,square_y1,centre_x,centre_y
1,Day 1,Tray 1,1,DJI_20260618124632_0008,1,1,1,Yes,Yes,No,Day 1,1,1262,1262,1.46502,293.465,direct_cup_evidence,62.103,74.759,355.567,368.224,208.835,221.492
1,Day 1,Tray 1,1,DJI_20260618124632_0008,2,1,2,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,437.584,76.869,731.049,370.334,584.316,223.601
1,Day 1,Tray 1,1,DJI_20260618124632_0008,3,1,3,Yes,Yes,No,Day 1,1,327,218,0.37961,293.465,direct_cup_evidence,819.393,76.869,1112.858,370.334,966.126,223.601
1,Day 1,Tray 1,1,DJI_20260618124632_0008,4,1,4,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1199.093,76.869,1492.558,370.334,1345.826,223.601
1,Day 1,Tray 1,1,DJI_20260618124632_0008,5,1,5,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1580.903,76.869,1874.367,370.334,1727.635,223.601
1,Day 1,Tray 1,1,DJI_20260618124632_0008,6,1,6,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1956.384,83.197,2249.849,376.662,2103.116,229.929
1,Day 1,Tray 1,1,DJI_20260618124632_0008,7,1,7,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,2342.412,78.978,2635.877,372.443,2489.144,225.711
1,Day 1,Tray 1,1,DJI_20260618124632_0008,8,1,8,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,2730.55,87.416,3024.015,380.881,2877.282,234.148
1,Day 1,Tray 1,1,DJI_20260618124632_0008,9,1,9,Yes,Yes,No,Day 1,1,1345,1345,1.5667,293.465,direct_cup_evidence,3101.812,76.869,3395.277,370.334,3248.544,223.601
1,Day 1,Tray 1,1,DJI_20260618124632_0008,10,1,10,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,3479.403,89.525,3772.867,382.99,3626.135,236.258
1,Day 1,Tray 1,1,DJI_20260618124632_0008,11,2,1,Yes,Yes,No,Day 1,1,545,545,0.63484,293.465,direct_cup_evidence,57.884,401.723,351.349,695.188,204.616,548.456
1,Day 1,Tray 1,1,DJI_20260618124632_0008,12,2,2,Yes,Yes,No,Day 1,1,541,541,0.62803,293.465,direct_cup_evidence,441.803,395.395,735.267,688.86,588.535,542.127
1,Day 1,Tray 1,1,DJI_20260618124632_0008,13,2,3,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,817.284,401.723,1110.749,695.188,964.016,548.456
1,Day 1,Tray 1,1,DJI_20260618124632_0008,14,2,4,Yes,Yes,No,Day 1,1,317,317,0.368,293.465,direct_cup_evidence,1199.093,399.614,1492.558,693.079,1345.826,546.346
1,Day 1,Tray 1,1,DJI_20260618124632_0008,15,2,5,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1580.903,399.614,1874.367,693.079,1727.635,546.346
