day_order,day,tray,tray_no,capture_id,raw_green_cells,raw_green_percent,tracked_emerged_cells,tracked_emergence_percent,newly_emerged_today,carried_forward_cells,overlay_path,mask_path,status,notes
1,Day 1,Tray 1,1,DJI_20260618124632_0008,17,24.286,17,24.286,17,0,Day 1\Tray 1\DJI_20260618124632_0008_visible_emergence_overlay.jpg,Day 1\Tray 1\DJI_20260618124632_0008_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
1,Day 1,Tray 2,2,DJI_20260618124541_0007,34,48.571,34,48.571,34,0,Day 1\Tray 2\DJI_20260618124541_0007_visible_emergence_overlay.jpg,Day 1\Tray 2\DJI_20260618124541_0007_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
1,Day 1,Tray 3,3,DJI_20260618124235_0004,25,35.714,25,35.714,25,0,Day 1\Tray 3\DJI_20260618124235_0004_visible_emergence_overlay.jpg,Day 1\Tray 3\DJI_20260618124235_0004_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
1,Day 1,Tray 4,4,DJI_20260618124331_0005,20,28.571,20,28.571,20,0,Day 1\Tray 4\DJI_20260618124331_0005_visible_emergence_overlay.jpg,Day 1\Tray 4\DJI_20260618124331_0005_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
1,Day 1,Tray 5,5,DJI_20260618124449_0006,37,52.857,37,52.857,37,0,Day 1\Tray 5\DJI_20260618124449_0006_visible_emergence_overlay.jpg,Day 1\Tray 5\DJI_20260618124449_0006_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
1,Day 1,Tray 6,6,DJI_20260618123542_0001,13,18.571,13,18.571,13,0,Day 1\Tray 6\DJI_20260618123542_0001_visible_emergence_overlay.jpg,Day 1\Tray 6\DJI_20260618123542_0001_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
1,Day 1,Tray 7,7,DJI_20260618123812_0002,15,21.429,15,21.429,15,0,Day 1\Tray 7\DJI_20260618123812_0002_visible_emergence_overlay.jpg,Day 1\Tray 7\DJI_20260618123812_0002_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
1,Day 1,Tray 8,8,DJI_20260618124121_0003,46,65.714,46,65.714,46,0,Day 1\Tray 8\DJI_20260618124121_0003_visible_emergence_overlay.jpg,Day 1\Tray 8\DJI_20260618124121_0003_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 1,1,DJI_20260620131000_0001,37,52.857,37,52.857,20,0,Day 2\Tray 1\DJI_20260620131000_0001_visible_emergence_overlay.jpg,Day 2\Tray 1\DJI_20260620131000_0001_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 2,2,DJI_20260620131052_0002,41,58.571,41,58.571,7,0,Day 2\Tray 2\DJI_20260620131052_0002_visible_emergence_overlay.jpg,Day 2\Tray 2\DJI_20260620131052_0002_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 3,3,DJI_20260620131152_0003,38,54.286,38,54.286,13,0,Day 2\Tray 3\DJI_20260620131152_0003_visible_emergence_overlay.jpg,Day 2\Tray 3\DJI_20260620131152_0003_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 4,4,DJI_20260620131233_0004,32,45.714,32,45.714,12,0,Day 2\Tray 4\DJI_20260620131233_0004_visible_emergence_overlay.jpg,Day 2\Tray 4\DJI_20260620131233_0004_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 5,5,DJI_20260620131340_0005,53,75.714,53,75.714,16,0,Day 2\Tray 5\DJI_20260620131340_0005_visible_emergence_overlay.jpg,Day 2\Tray 5\DJI_20260620131340_0005_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 6,6,DJI_20260620131437_0006,25,35.714,25,35.714,12,0,Day 2\Tray 6\DJI_20260620131437_0006_visible_emergence_overlay.jpg,Day 2\Tray 6\DJI_20260620131437_0006_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 7,7,DJI_20260620131539_0007,29,41.429,30,42.857,15,1,Day 2\Tray 7\DJI_20260620131539_0007_visible_emergence_overlay.jpg,Day 2\Tray 7\DJI_20260620131539_0007_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
2,Day 2,Tray 8,8,DJI_20260620131623_0008,57,81.429,57,81.429,11,0,Day 2\Tray 8\DJI_20260620131623_0008_visible_emergence_overlay.jpg,Day 2\Tray 8\DJI_20260620131623_0008_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 1,1,DJI_20260621125425_0001,42,60.0,42,60.0,5,0,Day 3\Tray 1\DJI_20260621125425_0001_visible_emergence_overlay.jpg,Day 3\Tray 1\DJI_20260621125425_0001_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 2,2,DJI_20260621125542_0002,44,62.857,45,64.286,4,1,Day 3\Tray 2\DJI_20260621125542_0002_visible_emergence_overlay.jpg,Day 3\Tray 2\DJI_20260621125542_0002_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 3,3,DJI_20260621125701_0003,42,60.0,42,60.0,4,0,Day 3\Tray 3\DJI_20260621125701_0003_visible_emergence_overlay.jpg,Day 3\Tray 3\DJI_20260621125701_0003_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 4,4,DJI_20260621125808_0004,34,48.571,35,50.0,3,1,Day 3\Tray 4\DJI_20260621125808_0004_visible_emergence_overlay.jpg,Day 3\Tray 4\DJI_20260621125808_0004_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 5,5,DJI_20260621125931_0005,59,84.286,59,84.286,6,0,Day 3\Tray 5\DJI_20260621125931_0005_visible_emergence_overlay.jpg,Day 3\Tray 5\DJI_20260621125931_0005_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 6,6,DJI_20260621125958_0006,32,45.714,32,45.714,7,0,Day 3\Tray 6\DJI_20260621125958_0006_visible_emergence_overlay.jpg,Day 3\Tray 6\DJI_20260621125958_0006_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 7,7,DJI_20260621130023_0008,33,47.143,34,48.571,4,1,Day 3\Tray 7\DJI_20260621130023_0008_visible_emergence_overlay.jpg,Day 3\Tray 7\DJI_20260621130023_0008_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
3,Day 3,Tray 8,8,DJI_20260621130058_0009,59,84.286,59,84.286,2,0,Day 3\Tray 8\DJI_20260621130058_0009_visible_emergence_overlay.jpg,Day 3\Tray 8\DJI_20260621130058_0009_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 1,1,DJI_20260622122222_0001,46,65.714,46,65.714,4,0,Day 4\Tray 1\DJI_20260622122222_0001_visible_emergence_overlay.jpg,Day 4\Tray 1\DJI_20260622122222_0001_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 2,2,DJI_20260622122329_0002,47,67.143,50,71.429,5,3,Day 4\Tray 2\DJI_20260622122329_0002_visible_emergence_overlay.jpg,Day 4\Tray 2\DJI_20260622122329_0002_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 3,3,DJI_20260622122437_0003,45,64.286,45,64.286,3,0,Day 4\Tray 3\DJI_20260622122437_0003_visible_emergence_overlay.jpg,Day 4\Tray 3\DJI_20260622122437_0003_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 4,4,DJI_20260622122526_0004,43,61.429,43,61.429,8,0,Day 4\Tray 4\DJI_20260622122526_0004_visible_emergence_overlay.jpg,Day 4\Tray 4\DJI_20260622122526_0004_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 5,5,DJI_20260622122624_0005,59,84.286,68,97.143,9,9,Day 4\Tray 5\DJI_20260622122624_0005_visible_emergence_overlay.jpg,Day 4\Tray 5\DJI_20260622122624_0005_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 6,6,DJI_20260622122657_0006,33,47.143,35,50.0,3,2,Day 4\Tray 6\DJI_20260622122657_0006_visible_emergence_overlay.jpg,Day 4\Tray 6\DJI_20260622122657_0006_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 7,7,DJI_20260622122752_0007,37,52.857,37,52.857,3,0,Day 4\Tray 7\DJI_20260622122752_0007_visible_emergence_overlay.jpg,Day 4\Tray 7\DJI_20260622122752_0007_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
4,Day 4,Tray 8,8,DJI_20260622122838_0008,58,82.857,60,85.714,1,2,Day 4\Tray 8\DJI_20260622122838_0008_visible_emergence_overlay.jpg,Day 4\Tray 8\DJI_20260622122838_0008_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 1,1,DJI_20260623123614_0001,50,71.429,50,71.429,4,0,Day 5\Tray 1\DJI_20260623123614_0001_visible_emergence_overlay.jpg,Day 5\Tray 1\DJI_20260623123614_0001_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 2,2,DJI_20260623123731_0002,47,67.143,51,72.857,1,4,Day 5\Tray 2\DJI_20260623123731_0002_visible_emergence_overlay.jpg,Day 5\Tray 2\DJI_20260623123731_0002_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 3,3,DJI_20260623123926_0003,46,65.714,47,67.143,2,1,Day 5\Tray 3\DJI_20260623123926_0003_visible_emergence_overlay.jpg,Day 5\Tray 3\DJI_20260623123926_0003_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 4,4,DJI_20260623123956_0004,44,62.857,44,62.857,1,0,Day 5\Tray 4\DJI_20260623123956_0004_visible_emergence_overlay.jpg,Day 5\Tray 4\DJI_20260623123956_0004_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 5,5,DJI_20260623124057_0005,59,84.286,68,97.143,0,9,Day 5\Tray 5\DJI_20260623124057_0005_visible_emergence_overlay.jpg,Day 5\Tray 5\DJI_20260623124057_0005_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 6,6,DJI_20260623124159_0006,32,45.714,35,50.0,0,3,Day 5\Tray 6\DJI_20260623124159_0006_visible_emergence_overlay.jpg,Day 5\Tray 6\DJI_20260623124159_0006_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 7,7,DJI_20260623124307_0007,40,57.143,40,57.143,3,0,Day 5\Tray 7\DJI_20260623124307_0007_visible_emergence_overlay.jpg,Day 5\Tray 7\DJI_20260623124307_0007_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
5,Day 5,Tray 8,8,DJI_20260623124403_0008,55,78.571,61,87.143,1,6,Day 5\Tray 8\DJI_20260623124403_0008_visible_emergence_overlay.jpg,Day 5\Tray 8\DJI_20260623124403_0008_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
9,Day 9,Tray 1,1,DJI_20260627101229_0001,51,72.857,52,74.286,2,1,Day 9\Tray 1\DJI_20260627101229_0001_visible_emergence_overlay.jpg,Day 9\Tray 1\DJI_20260627101229_0001_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
9,Day 9,Tray 2,2,DJI_20260627101425_0002,41,58.571,53,75.714,2,12,Day 9\Tray 2\DJI_20260627101425_0002_visible_emergence_overlay.jpg,Day 9\Tray 2\DJI_20260627101425_0002_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
9,Day 9,Tray 3,3,DJI_20260627101610_0003,47,67.143,48,68.571,1,1,Day 9\Tray 3\DJI_20260627101610_0003_visible_emergence_overlay.jpg,Day 9\Tray 3\DJI_20260627101610_0003_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
9,Day 9,Tray 4,4,DJI_20260627101707_0004,47,67.143,47,67.143,3,0,Day 9\Tray 4\DJI_20260627101707_0004_visible_emergence_overlay.jpg,Day 9\Tray 4\DJI_20260627101707_0004_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
9,Day 9,Tray 5,5,DJI_20260627101808_0005,59,84.286,68,97.143,0,9,Day 9\Tray 5\DJI_20260627101808_0005_visible_emergence_overlay.jpg,Day 9\Tray 5\DJI_20260627101808_0005_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
9,Day 9,Tray 6,6,DJI_20260627101858_0006,37,52.857,39,55.714,4,2,Day 9\Tray 6\DJI_20260627101858_0006_visible_emergence_overlay.jpg,Day 9\Tray 6\DJI_20260627101858_0006_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
9,Day 9,Tray 7,7,DJI_20260627101933_0007,46,65.714,46,65.714,6,0,Day 9\Tray 7\DJI_20260627101933_0007_visible_emergence_overlay.jpg,Day 9\Tray 7\DJI_20260627101933_0007_green_evidence_mask.png,PASS,Raw detection completed for this image. Tracked emergence carries previous emergence forward without skipping current-day detection.
