group,day_order,day,tray_count,mean_tracked_emergence_percent,sd_tracked_emergence_percent,mean_green_cover_percent,sd_green_cover_percent,mean_newly_emerged_today,group_type
No Microbes,1,Day 1,4,34.2855,10.626407875351545,0.22212774999999998,0.14384267491527197,24.0,Treatment
No Microbes,2,Day 2,4,52.857,5.345224847157196,0.711395,0.33632986519563945,13.0,Treatment
No Microbes,3,Day 3,4,58.5715,6.061005059669009,0.8929391428571428,0.39351364353465357,4.0,Treatment
No Microbes,4,Day 4,4,65.7145,4.205616601641191,1.0578576785714287,0.40157810583870024,5.0,Treatment
No Microbes,5,Day 5,4,68.5715,4.5176298726950455,1.4614116428571429,0.6261386372944785,2.0,Treatment
No Microbes,9,Day 9,4,71.4285,4.205616601641191,3.113298857142857,0.9610523516408922,2.0,Treatment
Microbes,1,Day 1,4,39.64275,23.310125244551276,0.40465025,0.38255615985335617,27.75,Treatment
Microbes,2,Day 2,4,58.9285,22.987182174710615,1.0658704642857142,0.9098277679210849,13.5,Treatment
Microbes,3,Day 3,4,65.71424999999999,21.476505121876794,1.371535392857143,1.1323619737314978,4.75,Treatment
Microbes,4,Day 4,4,71.4285,23.589490915801186,1.6652757142857142,1.361162791863693,4.0,Treatment
Microbes,5,Day 5,4,72.85725,22.827409232105165,1.9493227857142856,1.488190808309416,1.0,Treatment
Microbes,9,Day 9,4,77.14275,19.62249160827102,5.050859392857143,3.7517766508725074,3.0,Treatment
No Microbes | Inside,1,Day 1,2,36.4285,17.172088181115303,0.30891307142857144,0.15334388367489588,25.5,Treatment x Environment
No Microbes | Inside,2,Day 2,2,55.714,4.040408147699932,0.9315505714285715,0.33434372371454224,13.5,Treatment x Environment
No Microbes | Inside,3,Day 3,2,62.143,3.0306596641655434,1.152874,0.36315489052924255,4.5,Treatment x Environment
No Microbes | Inside,4,Day 4,2,68.5715,4.041115254481121,1.3555512142857142,0.2779726660420785,4.5,Treatment x Environment
No Microbes | Inside,5,Day 5,2,72.143,1.009748483534388,1.9368910714285716,0.46495937716752217,2.5,Treatment x Environment
No Microbes | Inside,9,Day 9,2,75.0,1.009748483534388,3.744234214285714,1.0185195370634816,2.0,Treatment x Environment
No Microbes | Outside,1,Day 1,2,32.1425,5.050863738015505,0.13534242857142859,0.09182064396419795,22.5,Treatment x Environment
No Microbes | Outside,2,Day 2,2,50.0,6.061319328331087,0.49123942857142855,0.18355845541974258,12.5,Treatment x Environment
No Microbes | Outside,3,Day 3,2,55.0,7.0710678118654755,0.6330042857142857,0.24982587655593003,3.5,Treatment x Environment
No Microbes | Outside,4,Day 4,2,62.8575,2.020204073849966,0.7601641428571428,0.2281235572582613,5.5,Treatment x Environment
No Microbes | Outside,5,Day 5,2,65.0,3.0306596641655434,0.9859322142857143,0.2358788013885522,1.5,Treatment x Environment
No Microbes | Outside,9,Day 9,2,67.857,1.009748483534388,2.4823635,0.37571947092414626,2.0,Treatment x Environment
Microbes | Inside,1,Day 1,2,59.2855,9.091271885715441,0.7353639285714285,0.002305471152431537,41.5,Treatment x Environment
Microbes | Inside,2,Day 2,2,78.5715,4.041115254481121,1.8529745714285712,0.009341486671001058,13.5,Treatment x Environment
Microbes | Inside,3,Day 3,2,84.286,0.0,2.351544642857143,0.03464954547644895,4.0,Treatment x Environment
Microbes | Inside,4,Day 4,2,91.4285,8.081523402181054,2.8430580714285716,0.0030919759236202543,5.0,Treatment x Environment
Microbes | Inside,5,Day 5,2,92.143,7.0710678118654755,3.222956857142857,0.34093799952537884,0.5,Treatment x Environment
Microbes | Inside,9,Day 9,2,93.5715,5.05086373801551,8.194894714285715,1.6056184786979018,1.0,Treatment x Environment
Microbes | Outside,1,Day 1,2,20.0,2.020911180631151,0.07393657142857143,0.03944847716985294,14.0,Treatment x Environment
Microbes | Outside,2,Day 2,2,39.2855,5.05086373801551,0.27876635714285714,0.07170032456655252,13.5,Treatment x Environment
Microbes | Outside,3,Day 3,2,47.1425,2.020204073849966,0.3915261428571429,0.06211124950688179,5.5,Treatment x Environment
Microbes | Outside,4,Day 4,2,51.4285,2.020204073849966,0.48749335714285713,0.09796812930457931,3.0,Treatment x Environment
Microbes | Outside,5,Day 5,2,53.5715,5.05086373801551,0.6756887142857142,0.19829759119730397,1.5,Treatment x Environment
Microbes | Outside,9,Day 9,2,60.714,7.0710678118654755,1.9068240714285718,0.3311208320211484,5.0,Treatment x Environment
