day_order,day,tray,tray_no,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,grid_error,coordinate_source,needs_review
1,Day 1,Tray 1,1,DJI_20260618124632_0008,1,1,1,73.837,92.034,20.753,38.95,126.922,145.119,106.169,0.0261,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,2,1,2,210.985,91.619,157.901,38.534,264.07,144.703,106.169,0.0263,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,3,1,3,348.133,91.203,295.049,38.119,401.218,144.288,106.169,0.0306,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,4,1,4,485.281,90.788,432.197,37.703,538.366,143.872,106.169,0.0335,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,5,1,5,622.43,90.372,569.345,37.288,675.514,143.457,106.169,0.0237,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,6,1,6,759.578,89.956,706.493,36.872,812.662,143.041,106.169,0.0332,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,7,1,7,896.726,89.541,843.641,36.456,949.81,142.625,106.169,0.04,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,8,1,8,1033.874,89.125,980.789,36.041,1086.958,142.21,106.169,0.0175,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,9,1,9,1171.022,88.71,1117.937,35.625,1224.106,141.794,106.169,0.0403,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,10,1,10,1308.17,88.294,1255.085,35.21,1361.254,141.379,106.169,0.072,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,11,2,1,74.369,209.999,21.285,156.914,127.454,263.083,106.169,0.0173,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,12,2,2,211.518,209.583,158.433,156.499,264.602,262.668,106.169,0.0245,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,13,2,3,348.666,209.168,295.581,156.083,401.75,262.252,106.169,0.0198,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,14,2,4,485.814,208.752,432.729,155.667,538.898,261.836,106.169,0.0281,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,15,2,5,622.962,208.336,569.877,155.252,676.046,261.421,106.169,0.0593,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,16,2,6,760.11,207.921,707.025,154.836,813.194,261.005,106.169,0.0179,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,17,2,7,897.258,207.505,844.173,154.421,950.342,260.59,106.169,0.0196,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,18,2,8,1034.406,207.09,981.321,154.005,1087.49,260.174,106.169,0.018,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,19,2,9,1171.554,206.674,1118.469,153.59,1224.638,259.758,106.169,0.0462,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,20,2,10,1308.702,206.258,1255.617,153.174,1361.786,259.343,106.169,0.0678,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,21,3,1,74.902,327.963,21.817,274.879,127.986,381.047,106.169,0.0274,ms_nir_circle_supported_lattice,No
