day_order,day,tray,tray_no,capture_id,ms_g_path,ms_r_path,ms_re_path,ms_nir_path,band_dimensions_match,method,cells_generated,candidate_count,supported_cell_count,uncertain_cell_count,uncertain_cell_ids,square_side,median_grid_error,max_grid_error,spacing_cv,selected_hough_param2,selected_min_distance_ratio,review_required,overlay_path,status,notes
1,Day 1,Tray 1,1,DJI_20260618124632_0008,Day 1\Tray 1\DJI_20260618124632_0008_MS_G.TIF,Day 1\Tray 1\DJI_20260618124632_0008_MS_R.TIF,Day 1\Tray 1\DJI_20260618124632_0008_MS_RE.TIF,Day 1\Tray 1\DJI_20260618124632_0008_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,106.169,0.0238,0.1213,0.0167,56,0.6,No,Day 1\Tray 1\DJI_20260618124632_0008_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
1,Day 1,Tray 2,2,DJI_20260618124541_0007,Day 1\Tray 2\DJI_20260618124541_0007_MS_G.TIF,Day 1\Tray 2\DJI_20260618124541_0007_MS_R.TIF,Day 1\Tray 2\DJI_20260618124541_0007_MS_RE.TIF,Day 1\Tray 2\DJI_20260618124541_0007_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.909,0.0261,0.1115,0.0161,52,0.7,No,Day 1\Tray 2\DJI_20260618124541_0007_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
1,Day 1,Tray 3,3,DJI_20260618124235_0004,Day 1\Tray 3\DJI_20260618124235_0004_MS_G.TIF,Day 1\Tray 3\DJI_20260618124235_0004_MS_R.TIF,Day 1\Tray 3\DJI_20260618124235_0004_MS_RE.TIF,Day 1\Tray 3\DJI_20260618124235_0004_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,104.854,0.0135,0.1215,0.0079,56,0.7,No,Day 1\Tray 3\DJI_20260618124235_0004_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
1,Day 1,Tray 4,4,DJI_20260618124331_0005,Day 1\Tray 4\DJI_20260618124331_0005_MS_G.TIF,Day 1\Tray 4\DJI_20260618124331_0005_MS_R.TIF,Day 1\Tray 4\DJI_20260618124331_0005_MS_RE.TIF,Day 1\Tray 4\DJI_20260618124331_0005_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.334,0.0298,0.128,0.0217,60,0.5,No,Day 1\Tray 4\DJI_20260618124331_0005_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
1,Day 1,Tray 5,5,DJI_20260618124449_0006,Day 1\Tray 5\DJI_20260618124449_0006_MS_G.TIF,Day 1\Tray 5\DJI_20260618124449_0006_MS_R.TIF,Day 1\Tray 5\DJI_20260618124449_0006_MS_RE.TIF,Day 1\Tray 5\DJI_20260618124449_0006_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,104.963,0.0167,0.0456,0.0085,68,0.5,No,Day 1\Tray 5\DJI_20260618124449_0006_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
1,Day 1,Tray 6,6,DJI_20260618123542_0001,Day 1\Tray 6\DJI_20260618123542_0001_MS_G.TIF,Day 1\Tray 6\DJI_20260618123542_0001_MS_R.TIF,Day 1\Tray 6\DJI_20260618123542_0001_MS_RE.TIF,Day 1\Tray 6\DJI_20260618123542_0001_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.251,0.0184,0.098,0.0085,68,0.5,No,Day 1\Tray 6\DJI_20260618123542_0001_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
1,Day 1,Tray 7,7,DJI_20260618123812_0002,Day 1\Tray 7\DJI_20260618123812_0002_MS_G.TIF,Day 1\Tray 7\DJI_20260618123812_0002_MS_R.TIF,Day 1\Tray 7\DJI_20260618123812_0002_MS_RE.TIF,Day 1\Tray 7\DJI_20260618123812_0002_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.099,0.0219,0.082,0.0077,68,0.5,No,Day 1\Tray 7\DJI_20260618123812_0002_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
1,Day 1,Tray 8,8,DJI_20260618124121_0003,Day 1\Tray 8\DJI_20260618124121_0003_MS_G.TIF,Day 1\Tray 8\DJI_20260618124121_0003_MS_R.TIF,Day 1\Tray 8\DJI_20260618124121_0003_MS_RE.TIF,Day 1\Tray 8\DJI_20260618124121_0003_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.139,0.0118,0.138,0.0076,56,0.5,No,Day 1\Tray 8\DJI_20260618124121_0003_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 1,1,DJI_20260620131000_0001,Day 2\Tray 1\DJI_20260620131000_0001_MS_G.TIF,Day 2\Tray 1\DJI_20260620131000_0001_MS_R.TIF,Day 2\Tray 1\DJI_20260620131000_0001_MS_RE.TIF,Day 2\Tray 1\DJI_20260620131000_0001_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.387,0.0197,0.0923,0.0107,60,0.5,No,Day 2\Tray 1\DJI_20260620131000_0001_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 2,2,DJI_20260620131052_0002,Day 2\Tray 2\DJI_20260620131052_0002_MS_G.TIF,Day 2\Tray 2\DJI_20260620131052_0002_MS_R.TIF,Day 2\Tray 2\DJI_20260620131052_0002_MS_RE.TIF,Day 2\Tray 2\DJI_20260620131052_0002_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,104.76,0.0177,0.0777,0.013,64,0.5,No,Day 2\Tray 2\DJI_20260620131052_0002_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 3,3,DJI_20260620131152_0003,Day 2\Tray 3\DJI_20260620131152_0003_MS_G.TIF,Day 2\Tray 3\DJI_20260620131152_0003_MS_R.TIF,Day 2\Tray 3\DJI_20260620131152_0003_MS_RE.TIF,Day 2\Tray 3\DJI_20260620131152_0003_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,104.928,0.0154,0.1006,0.0123,64,0.5,No,Day 2\Tray 3\DJI_20260620131152_0003_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 4,4,DJI_20260620131233_0004,Day 2\Tray 4\DJI_20260620131233_0004_MS_G.TIF,Day 2\Tray 4\DJI_20260620131233_0004_MS_R.TIF,Day 2\Tray 4\DJI_20260620131233_0004_MS_RE.TIF,Day 2\Tray 4\DJI_20260620131233_0004_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,104.66,0.0208,0.1294,0.012,64,0.6,No,Day 2\Tray 4\DJI_20260620131233_0004_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 5,5,DJI_20260620131340_0005,Day 2\Tray 5\DJI_20260620131340_0005_MS_G.TIF,Day 2\Tray 5\DJI_20260620131340_0005_MS_R.TIF,Day 2\Tray 5\DJI_20260620131340_0005_MS_RE.TIF,Day 2\Tray 5\DJI_20260620131340_0005_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,104.57,0.018,0.0689,0.0118,68,0.5,No,Day 2\Tray 5\DJI_20260620131340_0005_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 6,6,DJI_20260620131437_0006,Day 2\Tray 6\DJI_20260620131437_0006_MS_G.TIF,Day 2\Tray 6\DJI_20260620131437_0006_MS_R.TIF,Day 2\Tray 6\DJI_20260620131437_0006_MS_RE.TIF,Day 2\Tray 6\DJI_20260620131437_0006_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.059,0.0216,0.13,0.0158,64,0.5,No,Day 2\Tray 6\DJI_20260620131437_0006_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 7,7,DJI_20260620131539_0007,Day 2\Tray 7\DJI_20260620131539_0007_MS_G.TIF,Day 2\Tray 7\DJI_20260620131539_0007_MS_R.TIF,Day 2\Tray 7\DJI_20260620131539_0007_MS_RE.TIF,Day 2\Tray 7\DJI_20260620131539_0007_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,104.501,0.0175,0.1567,0.0111,60,0.7,No,Day 2\Tray 7\DJI_20260620131539_0007_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
2,Day 2,Tray 8,8,DJI_20260620131623_0008,Day 2\Tray 8\DJI_20260620131623_0008_MS_G.TIF,Day 2\Tray 8\DJI_20260620131623_0008_MS_R.TIF,Day 2\Tray 8\DJI_20260620131623_0008_MS_RE.TIF,Day 2\Tray 8\DJI_20260620131623_0008_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.725,0.0234,0.1167,0.0112,60,0.5,No,Day 2\Tray 8\DJI_20260620131623_0008_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
3,Day 3,Tray 1,1,DJI_20260621125425_0001,Day 3\Tray 1\DJI_20260621125425_0001_MS_G.TIF,Day 3\Tray 1\DJI_20260621125425_0001_MS_R.TIF,Day 3\Tray 1\DJI_20260621125425_0001_MS_RE.TIF,Day 3\Tray 1\DJI_20260621125425_0001_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.86,0.025,0.1698,0.0142,52,0.7,No,Day 3\Tray 1\DJI_20260621125425_0001_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
3,Day 3,Tray 2,2,DJI_20260621125542_0002,Day 3\Tray 2\DJI_20260621125542_0002_MS_G.TIF,Day 3\Tray 2\DJI_20260621125542_0002_MS_R.TIF,Day 3\Tray 2\DJI_20260621125542_0002_MS_RE.TIF,Day 3\Tray 2\DJI_20260621125542_0002_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,68,63,7,"3, 4, 5, 6, 7, 8, 10",104.996,0.0243,1.0,0.0527,48,0.5,Yes,Day 3\Tray 2\DJI_20260621125542_0002_70_ms_square_grid_overlay.jpg,CHECK_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
3,Day 3,Tray 3,3,DJI_20260621125701_0003,Day 3\Tray 3\DJI_20260621125701_0003_MS_G.TIF,Day 3\Tray 3\DJI_20260621125701_0003_MS_R.TIF,Day 3\Tray 3\DJI_20260621125701_0003_MS_RE.TIF,Day 3\Tray 3\DJI_20260621125701_0003_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.23,0.0172,0.1027,0.0092,60,0.5,No,Day 3\Tray 3\DJI_20260621125701_0003_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
3,Day 3,Tray 4,4,DJI_20260621125808_0004,Day 3\Tray 4\DJI_20260621125808_0004_MS_G.TIF,Day 3\Tray 4\DJI_20260621125808_0004_MS_R.TIF,Day 3\Tray 4\DJI_20260621125808_0004_MS_RE.TIF,Day 3\Tray 4\DJI_20260621125808_0004_MS_NIR.TIF,Yes,robust_auto_ms_nir_global_lattice,70,70,70,0,,105.988,0.0233,0.1176,0.0176,56,0.5,No,Day 3\Tray 4\DJI_20260621125808_0004_70_ms_square_grid_overlay.jpg,PASS_AUTO,Selected one independent near-70-cell MS_NIR Hough configuration and fitted a global 7 x 10 lattice.
