day_order,day,tray,tray_no,capture_id,grid_status,cells_processed,cells_with_valid_ndvi,cells_with_valid_ndre,mean_cell_ndvi,median_cell_ndvi,mean_cell_ndre,median_cell_ndre,npz_path,ndvi_preview_path,ndre_preview_path,ndvi_overlay_path,ndre_overlay_path,status,notes
1,Day 1,Tray 1,1,DJI_20260618124632_0008,PASS_AUTO,70,70,70,0.2921030004109655,0.3119705021381378,-0.06396250424108335,-0.09057966619729996,Day 1\Tray 1\DJI_20260618124632_0008_relative_indices.npz,Day 1\Tray 1\DJI_20260618124632_0008_ndvi_preview.png,Day 1\Tray 1\DJI_20260618124632_0008_ndre_preview.png,Day 1\Tray 1\DJI_20260618124632_0008_ndvi_square_overlay.png,Day 1\Tray 1\DJI_20260618124632_0008_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
1,Day 1,Tray 2,2,DJI_20260618124541_0007,PASS_AUTO,70,70,70,0.301305408350059,0.311139315366745,-0.06897361446171998,-0.10359486192464828,Day 1\Tray 2\DJI_20260618124541_0007_relative_indices.npz,Day 1\Tray 2\DJI_20260618124541_0007_ndvi_preview.png,Day 1\Tray 2\DJI_20260618124541_0007_ndre_preview.png,Day 1\Tray 2\DJI_20260618124541_0007_ndvi_square_overlay.png,Day 1\Tray 2\DJI_20260618124541_0007_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
1,Day 1,Tray 3,3,DJI_20260618124235_0004,PASS_AUTO,70,70,70,0.3057868208203997,0.3330364525318146,-0.06984582463545459,-0.0787258893251419,Day 1\Tray 3\DJI_20260618124235_0004_relative_indices.npz,Day 1\Tray 3\DJI_20260618124235_0004_ndvi_preview.png,Day 1\Tray 3\DJI_20260618124235_0004_ndre_preview.png,Day 1\Tray 3\DJI_20260618124235_0004_ndvi_square_overlay.png,Day 1\Tray 3\DJI_20260618124235_0004_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
1,Day 1,Tray 4,4,DJI_20260618124331_0005,PASS_AUTO,70,70,70,0.292439632330622,0.3453495651483536,-0.07214388235339096,-0.06365010887384415,Day 1\Tray 4\DJI_20260618124331_0005_relative_indices.npz,Day 1\Tray 4\DJI_20260618124331_0005_ndvi_preview.png,Day 1\Tray 4\DJI_20260618124331_0005_ndre_preview.png,Day 1\Tray 4\DJI_20260618124331_0005_ndvi_square_overlay.png,Day 1\Tray 4\DJI_20260618124331_0005_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
1,Day 1,Tray 5,5,DJI_20260618124449_0006,PASS_AUTO,70,70,70,0.3004497753722327,0.29064515233039856,-0.057833429399345604,-0.11050001159310341,Day 1\Tray 5\DJI_20260618124449_0006_relative_indices.npz,Day 1\Tray 5\DJI_20260618124449_0006_ndvi_preview.png,Day 1\Tray 5\DJI_20260618124449_0006_ndre_preview.png,Day 1\Tray 5\DJI_20260618124449_0006_ndvi_square_overlay.png,Day 1\Tray 5\DJI_20260618124449_0006_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
1,Day 1,Tray 6,6,DJI_20260618123542_0001,PASS_AUTO,70,70,70,0.2948484016316278,0.3614085912704468,-0.06895292443888527,-0.04859769716858864,Day 1\Tray 6\DJI_20260618123542_0001_relative_indices.npz,Day 1\Tray 6\DJI_20260618123542_0001_ndvi_preview.png,Day 1\Tray 6\DJI_20260618123542_0001_ndre_preview.png,Day 1\Tray 6\DJI_20260618123542_0001_ndvi_square_overlay.png,Day 1\Tray 6\DJI_20260618123542_0001_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
1,Day 1,Tray 7,7,DJI_20260618123812_0002,PASS_AUTO,70,70,70,0.3049603432416916,0.3815537691116333,-0.058768357868705476,-0.0224485220387578,Day 1\Tray 7\DJI_20260618123812_0002_relative_indices.npz,Day 1\Tray 7\DJI_20260618123812_0002_ndvi_preview.png,Day 1\Tray 7\DJI_20260618123812_0002_ndre_preview.png,Day 1\Tray 7\DJI_20260618123812_0002_ndvi_square_overlay.png,Day 1\Tray 7\DJI_20260618123812_0002_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
1,Day 1,Tray 8,8,DJI_20260618124121_0003,PASS_AUTO,70,70,70,0.3037639630692346,0.34902797639369965,-0.05066684161179832,-0.05311544984579086,Day 1\Tray 8\DJI_20260618124121_0003_relative_indices.npz,Day 1\Tray 8\DJI_20260618124121_0003_ndvi_preview.png,Day 1\Tray 8\DJI_20260618124121_0003_ndre_preview.png,Day 1\Tray 8\DJI_20260618124121_0003_ndvi_square_overlay.png,Day 1\Tray 8\DJI_20260618124121_0003_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
2,Day 2,Tray 1,1,DJI_20260620131000_0001,PASS_AUTO,70,70,70,0.3093469457966941,0.3223546892404556,-0.05740840674511024,-0.07379883900284767,Day 2\Tray 1\DJI_20260620131000_0001_relative_indices.npz,Day 2\Tray 1\DJI_20260620131000_0001_ndvi_preview.png,Day 2\Tray 1\DJI_20260620131000_0001_ndre_preview.png,Day 2\Tray 1\DJI_20260620131000_0001_ndvi_square_overlay.png,Day 2\Tray 1\DJI_20260620131000_0001_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
2,Day 2,Tray 2,2,DJI_20260620131052_0002,PASS_AUTO,70,70,70,0.31756889245339803,0.3355342447757721,-0.0505060212819704,-0.07462538033723831,Day 2\Tray 2\DJI_20260620131052_0002_relative_indices.npz,Day 2\Tray 2\DJI_20260620131052_0002_ndvi_preview.png,Day 2\Tray 2\DJI_20260620131052_0002_ndre_preview.png,Day 2\Tray 2\DJI_20260620131052_0002_ndvi_square_overlay.png,Day 2\Tray 2\DJI_20260620131052_0002_ndre_square_overlay.png,PASS,Relative NDVI and NDRE calculated from aligned MS bands inside Script 06 square zones.
