group,day_order,day,tray_count,mean_ndvi,sd_ndvi,median_ndvi,mean_ndre,sd_ndre,median_ndre,mean_valid_ndvi_cells,mean_valid_ndre_cells,group_type
No Microbes,1,Day 1,4,0.29790871547801157,0.00676311723407603,0.32537395879626274,-0.06873145642291215,0.0034490584547311855,-0.08413763158023353,70.0,70.0,Treatment
No Microbes,2,Day 2,4,0.3119903589465788,0.006425181554216783,0.3384952209889889,-0.059099604089611325,0.009810073040628324,-0.0747388014569878,70.0,70.0,Treatment
No Microbes,3,Day 3,3,0.3033344363172849,0.0018610059859061857,0.3206587433815002,-0.06152930652634014,0.009932299719622052,-0.07985829686125114,70.0,70.0,Treatment
No Microbes,4,Day 4,4,0.29926198204713206,0.005844664632045414,0.3114103190600872,-0.06307430840429977,0.007784915742902539,-0.0994904981926083,70.0,70.0,Treatment
No Microbes,5,Day 5,4,0.2976739332079887,0.005356818127872393,0.30557163432240486,-0.0689317321271768,0.007176145363783622,-0.0960350781679153,70.0,70.0,Treatment
No Microbes,9,Day 9,4,0.30020057622875485,0.00530969769513478,0.3045916482806206,-0.08353663941047015,0.008959063577053877,-0.11712351161986585,70.0,70.0,Treatment
Microbes,1,Day 1,4,0.30100562082869664,0.004526536339262975,0.34565887227654457,-0.05905538832968363,0.007525611983620914,-0.05866542016156015,70.0,70.0,Treatment
Microbes,2,Day 2,4,0.30588497051170893,0.003021566589866532,0.34154568612575525,-0.0619166102160566,0.00910754863477894,-0.07729321159422392,70.0,70.0,Treatment
Microbes,3,Day 3,4,0.3046698930540255,0.004660593868234504,0.334182970225811,-0.06378369502324074,0.005042862765657252,-0.0858690664172172,70.0,70.0,Treatment
Microbes,4,Day 4,4,0.29791229436440125,0.002802210951324857,0.3234331831336021,-0.06430499637499447,0.007740849516204293,-0.092199339531362,70.0,70.0,Treatment
Microbes,5,Day 5,4,0.2899428672024182,0.01670399566844021,0.30664668604731554,-0.0637487183956961,0.010592003695470116,-0.08053695969283575,70.0,70.0,Treatment
Microbes,9,Day 9,4,0.30332960385297025,0.005682561176452772,0.31924666091799736,-0.08236364408263135,0.0052580235609795386,-0.12103675212711094,70.0,70.0,Treatment
No Microbes | Inside,1,Day 1,2,0.29670420438051226,0.006507085056977911,0.3115549087524414,-0.0664680593514016,0.00354339001828536,-0.09708726406097405,70.0,70.0,Treatment x Environment
No Microbes | Inside,2,Day 2,2,0.31345791912504606,0.005813794235509366,0.32894446700811386,-0.0539572140135403,0.004880723567349602,-0.07421210967004295,70.0,70.0,Treatment x Environment
No Microbes | Inside,3,Day 3,1,0.3049197328942162,0.0,0.317170962691307,-0.0522850724203245,0.0,-0.078220497816801,70.0,70.0,Treatment x Environment
No Microbes | Inside,4,Day 4,2,0.30259874569518225,0.002211629383304395,0.3024905398488045,-0.0564641635000173,0.0026246070000618287,-0.1037893164902925,70.0,70.0,Treatment x Environment
No Microbes | Inside,5,Day 5,2,0.2959906757942268,0.003282443375135143,0.2893323600292206,-0.06441673097599825,0.00631937332345139,-0.09562328457832335,70.0,70.0,Treatment x Environment
No Microbes | Inside,9,Day 9,2,0.29896822358880726,0.0024363900970433023,0.2921978458762169,-0.07596285255359744,0.0032193266255654833,-0.1114990375936031,70.0,70.0,Treatment x Environment
No Microbes | Outside,1,Day 1,2,0.29911322657551087,0.009437887490896886,0.3391930088400841,-0.0709948534944227,0.0016249721959109233,-0.071187999099493,70.0,70.0,Treatment x Environment
No Microbes | Outside,2,Day 2,2,0.3105227987681116,0.009024064444107758,0.3480459749698639,-0.06424199416568235,0.01261405699482173,-0.07526549324393264,70.0,70.0,Treatment x Environment
No Microbes | Outside,3,Day 3,2,0.3025417880288192,0.0017767776180242173,0.32240263372659683,-0.06615142357934795,0.008313685051201704,-0.0806771963834762,70.0,70.0,Treatment x Environment
No Microbes | Outside,4,Day 4,2,0.2959252183990818,0.007283751978366314,0.32033009827136993,-0.06968445330858225,0.0003874465705819157,-0.09519167989492411,70.0,70.0,Treatment x Environment
No Microbes | Outside,5,Day 5,2,0.29935719062175065,0.007998665186792117,0.32181090861558914,-0.07344673327835535,0.005745934742471041,-0.09644687175750724,70.0,70.0,Treatment x Environment
No Microbes | Outside,9,Day 9,2,0.30143292886870243,0.00851867947627125,0.3169854506850242,-0.09111042626734285,0.0009906599808484232,-0.1227479856461286,70.0,70.0,Treatment x Environment
Microbes | Inside,1,Day 1,2,0.30210686922073365,0.0023434845946750486,0.31983656436204905,-0.05425013550557195,0.005067542822543395,-0.0818077307194471,70.0,70.0,Treatment x Environment
Microbes | Inside,2,Day 2,2,0.3074975308563028,0.004095023475615174,0.32842747122049326,-0.0544782229632671,0.004668055668779659,-0.07826729118824,70.0,70.0,Treatment x Environment
Microbes | Inside,3,Day 3,2,0.3036337040364743,0.007439186545185295,0.31887852400541306,-0.0613674316156123,0.006162611224982124,-0.09099991247057909,70.0,70.0,Treatment x Environment
Microbes | Inside,4,Day 4,2,0.2999486968985625,8.412224966305719e-05,0.3156231194734573,-0.0576997437115226,0.0016144444776196095,-0.09723074547946445,70.0,70.0,Treatment x Environment
Microbes | Inside,5,Day 5,2,0.2997452827436583,0.003962517547008448,0.30384546518325806,-0.05722019227354651,0.01186540229893601,-0.0800458285957574,70.0,70.0,Treatment x Environment
Microbes | Inside,9,Day 9,2,0.29856191181710784,0.002083191528725631,0.3036673739552498,-0.0861269522724407,0.0018311564227508129,-0.13125550374388695,70.0,70.0,Treatment x Environment
Microbes | Outside,1,Day 1,2,0.2999043724366597,0.007150222483438522,0.37148118019104004,-0.0638606411537953,0.007201576085219961,-0.0355231096036732,70.0,70.0,Treatment x Environment
Microbes | Outside,2,Day 2,2,0.30427241016711504,0.00046794577177989834,0.35466390103101725,-0.0693549974688461,0.0023944024281477385,-0.07631913200020785,70.0,70.0,Treatment x Environment
Microbes | Outside,3,Day 3,2,0.3057060820715768,0.0023509909483948035,0.34948741644620895,-0.0661999584308692,0.003867854972630744,-0.0807382203638553,70.0,70.0,Treatment x Environment
Microbes | Outside,4,Day 4,2,0.29587589183024,0.0026386248254976568,0.3312432467937469,-0.07091024903846635,0.0016243065391221925,-0.08716793358325955,70.0,70.0,Treatment x Environment
Microbes | Outside,5,Day 5,2,0.28014045166117807,0.02090501056662908,0.3094479069113731,-0.0702772445178457,0.005029636351527123,-0.0810280907899141,70.0,70.0,Treatment x Environment
Microbes | Outside,9,Day 9,2,0.3080972958888326,0.0012693574089779314,0.33482594788074493,-0.078600335892822,0.0047892950768272475,-0.11081800051033494,70.0,70.0,Treatment x Environment
