category,label,target_name,source_path,target_path,status,notes
figure,RGB emergence trend by treatment,01_rgb_emergence_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\05_Treatment_Growth_Visuals\charts\01_microbes_vs_no_microbes_emergence.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\01_rgb_emergence_trend.png,COPIED,Copied successfully.
figure,RGB green-cover trend by treatment,02_rgb_green_cover_treatment.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\05_Treatment_Growth_Visuals\charts\02_microbes_vs_no_microbes_green_cover.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\02_rgb_green_cover_treatment.png,COPIED,Copied successfully.
figure,RGB emergence by treatment and environment,03_rgb_interaction_emergence.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\05_Treatment_Growth_Visuals\charts\03_interaction_emergence.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\03_rgb_interaction_emergence.png,COPIED,Copied successfully.
figure,RGB green-cover by treatment and environment,04_rgb_interaction_green_cover.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\05_Treatment_Growth_Visuals\charts\04_interaction_green_cover.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\04_rgb_interaction_green_cover.png,COPIED,Copied successfully.
figure,MS NDVI treatment trend,05_ms_ndvi_treatment.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\charts\01_microbes_vs_no_microbes_ndvi.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\05_ms_ndvi_treatment.png,COPIED,Copied successfully.
figure,MS NDRE treatment trend,06_ms_ndre_treatment.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\charts\02_microbes_vs_no_microbes_ndre.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\06_ms_ndre_treatment.png,COPIED,Copied successfully.
figure,MS NDVI by treatment and environment,07_ms_interaction_ndvi.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\charts\03_interaction_ndvi.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\07_ms_interaction_ndvi.png,COPIED,Copied successfully.
figure,MS NDRE by treatment and environment,08_ms_interaction_ndre.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\charts\04_interaction_ndre.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\08_ms_interaction_ndre.png,COPIED,Copied successfully.
figure,Final tray performance ranking,09_final_tray_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\charts\01_final_tray_score_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\09_final_tray_ranking.png,COPIED,Copied successfully.
figure,Final treatment group ranking,10_final_group_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\charts\02_final_group_score_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\10_final_group_ranking.png,COPIED,Copied successfully.
figure,Day 5 RGB green cover versus NDVI,11_rgb_vs_ndvi.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\charts\03_day5_rgb_green_cover_vs_ndvi.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\11_rgb_vs_ndvi.png,COPIED,Copied successfully.
figure,Day 5 RGB green cover versus NDRE,12_rgb_vs_ndre.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\charts\04_day5_rgb_green_cover_vs_ndre.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\12_rgb_vs_ndre.png,COPIED,Copied successfully.
figure,Treatment summary heatmap,13_treatment_summary_heatmap.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\charts\05_treatment_summary_heatmap.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\figures\13_treatment_summary_heatmap.png,COPIED,Copied successfully.
report,Final Second Trial synthesis PDF report,01_second_trial_synthesis_report.pdf,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\_reports\second_trial_synthesis_report.pdf,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\reports\01_second_trial_synthesis_report.pdf,COPIED,Copied successfully.
report,Multispectral treatment comparison PDF report,02_ms_treatment_visual_summary.pdf,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\_reports\ms_treatment_visual_summary.pdf,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\reports\02_ms_treatment_visual_summary.pdf,COPIED,Copied successfully.
report,Final Second Trial master Excel workbook,03_second_trial_master_summary.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\_reports\second_trial_master_summary.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\reports\03_second_trial_master_summary.xlsx,COPIED,Copied successfully.
report,Multispectral treatment comparison Excel workbook,04_ms_treatment_comparison_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\_reports\ms_treatment_comparison_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\reports\04_ms_treatment_comparison_report.xlsx,COPIED,Copied successfully.
report,RGB treatment growth Excel workbook,05_treatment_growth_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\05_Treatment_Growth_Visuals\_reports\treatment_growth_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\reports\05_treatment_growth_report.xlsx,COPIED,Copied successfully.
table,Final master summary CSV,01_final_master_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\_reports\second_trial_master_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\tables\01_final_master_summary.csv,COPIED,Copied successfully.
table,Final group summary CSV,02_final_group_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\09_Second_Trial_Synthesis\_reports\second_trial_group_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\tables\02_final_group_summary.csv,COPIED,Copied successfully.
table,RGB tray growth metrics CSV,03_rgb_tray_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\05_Treatment_Growth_Visuals\_reports\tray_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\tables\03_rgb_tray_growth_metrics.csv,COPIED,Copied successfully.
table,RGB group daily metrics CSV,04_rgb_group_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\05_Treatment_Growth_Visuals\_reports\group_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\tables\04_rgb_group_daily_metrics.csv,COPIED,Copied successfully.
table,MS tray index metrics CSV,05_ms_tray_index_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\_reports\ms_tray_index_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\tables\05_ms_tray_index_metrics.csv,COPIED,Copied successfully.
table,MS group growth rates CSV,06_ms_group_growth_rates.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\08_MS_Treatment_Comparison\_reports\ms_group_growth_rates.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Second Trial\10_Report_Figure_Package\tables\06_ms_group_growth_rates.csv,COPIED,Copied successfully.
