day,tray,tray_no,treatment,environment,capture_id,total_pixels,valid_pixels,valid_percent,ndvi_mean,ndre_mean,ndvi_path,ndre_path,preview_path,status,notes
Fifth Day,Tray 1,1,No Microbes,Inside,DJI_20260623123614_0001,1201375,1201375,100.0,0.26775598526000977,-0.07254736125469208,Analysis\Fifth Day\Tray 1\DJI_20260623123614_0001_NDVI.tif,Analysis\Fifth Day\Tray 1\DJI_20260623123614_0001_NDRE.tif,Analysis\Fifth Day\Tray 1\DJI_20260623123614_0001_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
Fifth Day,Tray 2,2,No Microbes,Inside,DJI_20260623123731_0002,1188351,1188351,100.0,0.2737952172756195,-0.061735279858112335,Analysis\Fifth Day\Tray 2\DJI_20260623123731_0002_NDVI.tif,Analysis\Fifth Day\Tray 2\DJI_20260623123731_0002_NDRE.tif,Analysis\Fifth Day\Tray 2\DJI_20260623123731_0002_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
Fifth Day,Tray 3,3,No Microbes,Outside,DJI_20260623123926_0003,1187790,1187790,100.0,0.271293580532074,-0.07722993195056915,Analysis\Fifth Day\Tray 3\DJI_20260623123926_0003_NDVI.tif,Analysis\Fifth Day\Tray 3\DJI_20260623123926_0003_NDRE.tif,Analysis\Fifth Day\Tray 3\DJI_20260623123926_0003_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
Fifth Day,Tray 4,4,No Microbes,Outside,DJI_20260623123956_0004,1203867,1203867,100.0,0.26840364933013916,-0.07132287323474884,Analysis\Fifth Day\Tray 4\DJI_20260623123956_0004_NDVI.tif,Analysis\Fifth Day\Tray 4\DJI_20260623123956_0004_NDRE.tif,Analysis\Fifth Day\Tray 4\DJI_20260623123956_0004_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
Fifth Day,Tray 5,5,Microbes,Inside,DJI_20260623124057_0005,1193500,1193500,100.0,0.2731311023235321,-0.06080221012234688,Analysis\Fifth Day\Tray 5\DJI_20260623124057_0005_NDVI.tif,Analysis\Fifth Day\Tray 5\DJI_20260623124057_0005_NDRE.tif,Analysis\Fifth Day\Tray 5\DJI_20260623124057_0005_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
Fifth Day,Tray 6,6,Microbes,Outside,DJI_20260623124159_0006,1183526,1183526,100.0,0.26950976252555847,-0.0503985732793808,Analysis\Fifth Day\Tray 6\DJI_20260623124159_0006_NDVI.tif,Analysis\Fifth Day\Tray 6\DJI_20260623124159_0006_NDRE.tif,Analysis\Fifth Day\Tray 6\DJI_20260623124159_0006_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
Fifth Day,Tray 7,7,Microbes,Outside,DJI_20260623124307_0007,1213520,1213520,100.0,0.23737922310829163,-0.07480126619338989,Analysis\Fifth Day\Tray 7\DJI_20260623124307_0007_NDVI.tif,Analysis\Fifth Day\Tray 7\DJI_20260623124307_0007_NDRE.tif,Analysis\Fifth Day\Tray 7\DJI_20260623124307_0007_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
Fifth Day,Tray 8,8,Microbes,Inside,DJI_20260623124403_0008,1171821,1171821,100.0,0.27163565158843994,-0.051614079624414444,Analysis\Fifth Day\Tray 8\DJI_20260623124403_0008_NDVI.tif,Analysis\Fifth Day\Tray 8\DJI_20260623124403_0008_NDRE.tif,Analysis\Fifth Day\Tray 8\DJI_20260623124403_0008_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
First Day,Tray 1,1,No Microbes,Inside,DJI_20260618124632_0008,1185431,1185431,100.0,0.2529030740261078,-0.08597660064697266,Analysis\First Day\Tray 1\DJI_20260618124632_0008_NDVI.tif,Analysis\First Day\Tray 1\DJI_20260618124632_0008_NDRE.tif,Analysis\First Day\Tray 1\DJI_20260618124632_0008_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
First Day,Tray 2,2,No Microbes,Inside,DJI_20260618124541_0007,1184388,1184388,100.0,0.26722851395606995,-0.08049522340297699,Analysis\First Day\Tray 2\DJI_20260618124541_0007_NDVI.tif,Analysis\First Day\Tray 2\DJI_20260618124541_0007_NDRE.tif,Analysis\First Day\Tray 2\DJI_20260618124541_0007_index_preview.png,PASS,Unmasked relative index maps created. Use vegetation masking next for plant-only metrics.
