day,tray,tray_no,treatment,environment,capture_id,D,MS_G,MS_R,MS_RE,MS_NIR,missing_bands,duplicate_bands,ms_dimensions,preview_path,status,notes
Fifth Day,Tray 1,1,No Microbes,Inside,DJI_20260623123614_0001,Fifth Day\Tray 1\DJI_20260623123614_0001_D.JPG,Fifth Day\Tray 1\DJI_20260623123614_0001_MS_G.TIF,Fifth Day\Tray 1\DJI_20260623123614_0001_MS_R.TIF,Fifth Day\Tray 1\DJI_20260623123614_0001_MS_RE.TIF,Fifth Day\Tray 1\DJI_20260623123614_0001_MS_NIR.TIF,,,"[(1373, 875)]",QA\previews\Fifth Day\Tray 1\DJI_20260623123614_0001_preview.png,PASS,All checks passed.
Fifth Day,Tray 2,2,No Microbes,Inside,DJI_20260623123731_0002,Fifth Day\Tray 2\DJI_20260623123731_0002_D.JPG,Fifth Day\Tray 2\DJI_20260623123731_0002_MS_G.TIF,Fifth Day\Tray 2\DJI_20260623123731_0002_MS_R.TIF,Fifth Day\Tray 2\DJI_20260623123731_0002_MS_RE.TIF,Fifth Day\Tray 2\DJI_20260623123731_0002_MS_NIR.TIF,,,"[(1377, 863)]",QA\previews\Fifth Day\Tray 2\DJI_20260623123731_0002_preview.png,PASS,All checks passed.
Fifth Day,Tray 3,3,No Microbes,Outside,DJI_20260623123926_0003,Fifth Day\Tray 3\DJI_20260623123926_0003_D.JPG,Fifth Day\Tray 3\DJI_20260623123926_0003_MS_G.TIF,Fifth Day\Tray 3\DJI_20260623123926_0003_MS_R.TIF,Fifth Day\Tray 3\DJI_20260623123926_0003_MS_RE.TIF,Fifth Day\Tray 3\DJI_20260623123926_0003_MS_NIR.TIF,,,"[(1370, 867)]",QA\previews\Fifth Day\Tray 3\DJI_20260623123926_0003_preview.png,PASS,All checks passed.
Fifth Day,Tray 4,4,No Microbes,Outside,DJI_20260623123956_0004,Fifth Day\Tray 4\DJI_20260623123956_0004_D.JPG,Fifth Day\Tray 4\DJI_20260623123956_0004_MS_G.TIF,Fifth Day\Tray 4\DJI_20260623123956_0004_MS_R.TIF,Fifth Day\Tray 4\DJI_20260623123956_0004_MS_RE.TIF,Fifth Day\Tray 4\DJI_20260623123956_0004_MS_NIR.TIF,,,"[(1379, 873)]",QA\previews\Fifth Day\Tray 4\DJI_20260623123956_0004_preview.png,PASS,All checks passed.
Fifth Day,Tray 5,5,Microbes,Inside,DJI_20260623124057_0005,Fifth Day\Tray 5\DJI_20260623124057_0005_D.JPG,Fifth Day\Tray 5\DJI_20260623124057_0005_MS_G.TIF,Fifth Day\Tray 5\DJI_20260623124057_0005_MS_R.TIF,Fifth Day\Tray 5\DJI_20260623124057_0005_MS_RE.TIF,Fifth Day\Tray 5\DJI_20260623124057_0005_MS_NIR.TIF,,,"[(1364, 875)]",QA\previews\Fifth Day\Tray 5\DJI_20260623124057_0005_preview.png,PASS,All checks passed.
Fifth Day,Tray 6,6,Microbes,Outside,DJI_20260623124159_0006,Fifth Day\Tray 6\DJI_20260623124159_0006_D.JPG,Fifth Day\Tray 6\DJI_20260623124159_0006_MS_G.TIF,Fifth Day\Tray 6\DJI_20260623124159_0006_MS_R.TIF,Fifth Day\Tray 6\DJI_20260623124159_0006_MS_RE.TIF,Fifth Day\Tray 6\DJI_20260623124159_0006_MS_NIR.TIF,,,"[(1373, 862)]",QA\previews\Fifth Day\Tray 6\DJI_20260623124159_0006_preview.png,PASS,All checks passed.
Fifth Day,Tray 7,7,Microbes,Outside,DJI_20260623124307_0007,Fifth Day\Tray 7\DJI_20260623124307_0007_D.JPG,Fifth Day\Tray 7\DJI_20260623124307_0007_MS_G.TIF,Fifth Day\Tray 7\DJI_20260623124307_0007_MS_R.TIF,Fifth Day\Tray 7\DJI_20260623124307_0007_MS_RE.TIF,Fifth Day\Tray 7\DJI_20260623124307_0007_MS_NIR.TIF,,,"[(1379, 880)]",QA\previews\Fifth Day\Tray 7\DJI_20260623124307_0007_preview.png,PASS,All checks passed.
Fifth Day,Tray 8,8,Microbes,Inside,DJI_20260623124403_0008,Fifth Day\Tray 8\DJI_20260623124403_0008_D.JPG,Fifth Day\Tray 8\DJI_20260623124403_0008_MS_G.TIF,Fifth Day\Tray 8\DJI_20260623124403_0008_MS_R.TIF,Fifth Day\Tray 8\DJI_20260623124403_0008_MS_RE.TIF,Fifth Day\Tray 8\DJI_20260623124403_0008_MS_NIR.TIF,,,"[(1361, 861)]",QA\previews\Fifth Day\Tray 8\DJI_20260623124403_0008_preview.png,PASS,All checks passed.
First Day,Tray 1,1,No Microbes,Inside,DJI_20260618124632_0008,First Day\Tray 1\DJI_20260618124632_0008_D.JPG,First Day\Tray 1\DJI_20260618124632_0008_MS_G.TIF,First Day\Tray 1\DJI_20260618124632_0008_MS_R.TIF,First Day\Tray 1\DJI_20260618124632_0008_MS_RE.TIF,First Day\Tray 1\DJI_20260618124632_0008_MS_NIR.TIF,,,"[(1361, 871)]",QA\previews\First Day\Tray 1\DJI_20260618124632_0008_preview.png,PASS,All checks passed.
First Day,Tray 2,2,No Microbes,Inside,DJI_20260618124541_0007,First Day\Tray 2\DJI_20260618124541_0007_D.JPG,First Day\Tray 2\DJI_20260618124541_0007_MS_G.TIF,First Day\Tray 2\DJI_20260618124541_0007_MS_R.TIF,First Day\Tray 2\DJI_20260618124541_0007_MS_RE.TIF,First Day\Tray 2\DJI_20260618124541_0007_MS_NIR.TIF,,,"[(1374, 862)]",QA\previews\First Day\Tray 2\DJI_20260618124541_0007_preview.png,PASS,All checks passed.
