file_no,file_name,relative_path,original_path,backup_path,source_used_for_rotation,rotation,original_width,original_height,new_width,new_height,status,notes
1,DJI_20260702125244_0001_D.JPG,DJI_20260702125244_0001_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125244_0001_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125244_0001_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
2,DJI_20260702125244_0001_F.JPG,DJI_20260702125244_0001_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125244_0001_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125244_0001_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
3,DJI_20260702125244_0001_MS_G.TIF,DJI_20260702125244_0001_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125244_0001_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125244_0001_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
4,DJI_20260702125244_0001_MS_NIR.TIF,DJI_20260702125244_0001_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125244_0001_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125244_0001_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
5,DJI_20260702125244_0001_MS_R.TIF,DJI_20260702125244_0001_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125244_0001_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125244_0001_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
6,DJI_20260702125244_0001_MS_RE.TIF,DJI_20260702125244_0001_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125244_0001_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125244_0001_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
7,DJI_20260702125421_0002_D.JPG,DJI_20260702125421_0002_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125421_0002_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125421_0002_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
8,DJI_20260702125421_0002_F.JPG,DJI_20260702125421_0002_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125421_0002_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125421_0002_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
9,DJI_20260702125421_0002_MS_G.TIF,DJI_20260702125421_0002_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125421_0002_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125421_0002_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
10,DJI_20260702125421_0002_MS_NIR.TIF,DJI_20260702125421_0002_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125421_0002_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125421_0002_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
11,DJI_20260702125421_0002_MS_R.TIF,DJI_20260702125421_0002_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125421_0002_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125421_0002_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
12,DJI_20260702125421_0002_MS_RE.TIF,DJI_20260702125421_0002_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125421_0002_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125421_0002_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
13,DJI_20260702125513_0003_D.JPG,DJI_20260702125513_0003_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125513_0003_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125513_0003_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
14,DJI_20260702125513_0003_F.JPG,DJI_20260702125513_0003_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125513_0003_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125513_0003_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
15,DJI_20260702125513_0003_MS_G.TIF,DJI_20260702125513_0003_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125513_0003_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125513_0003_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
16,DJI_20260702125513_0003_MS_NIR.TIF,DJI_20260702125513_0003_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125513_0003_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125513_0003_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
17,DJI_20260702125513_0003_MS_R.TIF,DJI_20260702125513_0003_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125513_0003_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125513_0003_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
18,DJI_20260702125513_0003_MS_RE.TIF,DJI_20260702125513_0003_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125513_0003_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125513_0003_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
