day_order,day,tray,tray_no,logical_key,capture_id,capture_ids_seen,layout_source,status,process_bands,source_d,source_ms_g,source_ms_r,source_ms_re,source_ms_nir,output_d,output_ms_g,output_ms_r,output_ms_re,output_ms_nir,d_crop_width,d_crop_height,ms_crop_width,ms_crop_height,notes
1,Day 1,Tray 1,1,1,DJI_20260629153749_0001,DJI_20260629153749_0001; DJI_20260629153750_0001,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 1\DJI_20260629153749_0001_D.JPG,Day 1\Tray 1\DJI_20260629153750_0001_MS_G.TIF,Day 1\Tray 1\DJI_20260629153750_0001_MS_R.TIF,Day 1\Tray 1\DJI_20260629153750_0001_MS_RE.TIF,Day 1\Tray 1\DJI_20260629153750_0001_MS_NIR.TIF,Day 1\Tray 1\DJI_20260629153749_0001_D.JPG,Day 1\Tray 1\DJI_20260629153749_0001_MS_G.TIF,Day 1\Tray 1\DJI_20260629153749_0001_MS_R.TIF,Day 1\Tray 1\DJI_20260629153749_0001_MS_RE.TIF,Day 1\Tray 1\DJI_20260629153749_0001_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 2,2,3,DJI_20260629153956_0003,DJI_20260629153956_0003,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 2\DJI_20260629153956_0003_D.JPG,Day 1\Tray 2\DJI_20260629153956_0003_MS_G.TIF,Day 1\Tray 2\DJI_20260629153956_0003_MS_R.TIF,Day 1\Tray 2\DJI_20260629153956_0003_MS_RE.TIF,Day 1\Tray 2\DJI_20260629153956_0003_MS_NIR.TIF,Day 1\Tray 2\DJI_20260629153956_0003_D.JPG,Day 1\Tray 2\DJI_20260629153956_0003_MS_G.TIF,Day 1\Tray 2\DJI_20260629153956_0003_MS_R.TIF,Day 1\Tray 2\DJI_20260629153956_0003_MS_RE.TIF,Day 1\Tray 2\DJI_20260629153956_0003_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 3,3,4,DJI_20260629154053_0004,DJI_20260629154053_0004,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 3\DJI_20260629154053_0004_D.JPG,Day 1\Tray 3\DJI_20260629154053_0004_MS_G.TIF,Day 1\Tray 3\DJI_20260629154053_0004_MS_R.TIF,Day 1\Tray 3\DJI_20260629154053_0004_MS_RE.TIF,Day 1\Tray 3\DJI_20260629154053_0004_MS_NIR.TIF,Day 1\Tray 3\DJI_20260629154053_0004_D.JPG,Day 1\Tray 3\DJI_20260629154053_0004_MS_G.TIF,Day 1\Tray 3\DJI_20260629154053_0004_MS_R.TIF,Day 1\Tray 3\DJI_20260629154053_0004_MS_RE.TIF,Day 1\Tray 3\DJI_20260629154053_0004_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 4,4,5,DJI_20260629154141_0005,DJI_20260629154141_0005,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 4\DJI_20260629154141_0005_D.JPG,Day 1\Tray 4\DJI_20260629154141_0005_MS_G.TIF,Day 1\Tray 4\DJI_20260629154141_0005_MS_R.TIF,Day 1\Tray 4\DJI_20260629154141_0005_MS_RE.TIF,Day 1\Tray 4\DJI_20260629154141_0005_MS_NIR.TIF,Day 1\Tray 4\DJI_20260629154141_0005_D.JPG,Day 1\Tray 4\DJI_20260629154141_0005_MS_G.TIF,Day 1\Tray 4\DJI_20260629154141_0005_MS_R.TIF,Day 1\Tray 4\DJI_20260629154141_0005_MS_RE.TIF,Day 1\Tray 4\DJI_20260629154141_0005_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 5,5,6,DJI_20260629154235_0006,DJI_20260629154235_0006,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 5\DJI_20260629154235_0006_D.JPG,Day 1\Tray 5\DJI_20260629154235_0006_MS_G.TIF,Day 1\Tray 5\DJI_20260629154235_0006_MS_R.TIF,Day 1\Tray 5\DJI_20260629154235_0006_MS_RE.TIF,Day 1\Tray 5\DJI_20260629154235_0006_MS_NIR.TIF,Day 1\Tray 5\DJI_20260629154235_0006_D.JPG,Day 1\Tray 5\DJI_20260629154235_0006_MS_G.TIF,Day 1\Tray 5\DJI_20260629154235_0006_MS_R.TIF,Day 1\Tray 5\DJI_20260629154235_0006_MS_RE.TIF,Day 1\Tray 5\DJI_20260629154235_0006_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 6,6,7,DJI_20260629154321_0007,DJI_20260629154321_0007,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 6\DJI_20260629154321_0007_D.JPG,Day 1\Tray 6\DJI_20260629154321_0007_MS_G.TIF,Day 1\Tray 6\DJI_20260629154321_0007_MS_R.TIF,Day 1\Tray 6\DJI_20260629154321_0007_MS_RE.TIF,Day 1\Tray 6\DJI_20260629154321_0007_MS_NIR.TIF,Day 1\Tray 6\DJI_20260629154321_0007_D.JPG,Day 1\Tray 6\DJI_20260629154321_0007_MS_G.TIF,Day 1\Tray 6\DJI_20260629154321_0007_MS_R.TIF,Day 1\Tray 6\DJI_20260629154321_0007_MS_RE.TIF,Day 1\Tray 6\DJI_20260629154321_0007_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 7,7,8,DJI_20260629154404_0008,DJI_20260629154404_0008,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 7\DJI_20260629154404_0008_D.JPG,Day 1\Tray 7\DJI_20260629154404_0008_MS_G.TIF,Day 1\Tray 7\DJI_20260629154404_0008_MS_R.TIF,Day 1\Tray 7\DJI_20260629154404_0008_MS_RE.TIF,Day 1\Tray 7\DJI_20260629154404_0008_MS_NIR.TIF,Day 1\Tray 7\DJI_20260629154404_0008_D.JPG,Day 1\Tray 7\DJI_20260629154404_0008_MS_G.TIF,Day 1\Tray 7\DJI_20260629154404_0008_MS_R.TIF,Day 1\Tray 7\DJI_20260629154404_0008_MS_RE.TIF,Day 1\Tray 7\DJI_20260629154404_0008_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 8,8,9,DJI_20260629154446_0009,DJI_20260629154446_0009,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 8\DJI_20260629154446_0009_D.JPG,Day 1\Tray 8\DJI_20260629154446_0009_MS_G.TIF,Day 1\Tray 8\DJI_20260629154446_0009_MS_R.TIF,Day 1\Tray 8\DJI_20260629154446_0009_MS_RE.TIF,Day 1\Tray 8\DJI_20260629154446_0009_MS_NIR.TIF,Day 1\Tray 8\DJI_20260629154446_0009_D.JPG,Day 1\Tray 8\DJI_20260629154446_0009_MS_G.TIF,Day 1\Tray 8\DJI_20260629154446_0009_MS_R.TIF,Day 1\Tray 8\DJI_20260629154446_0009_MS_RE.TIF,Day 1\Tray 8\DJI_20260629154446_0009_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 9,9,10,DJI_20260629154539_0010,DJI_20260629154539_0010,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 9\DJI_20260629154539_0010_D.JPG,Day 1\Tray 9\DJI_20260629154539_0010_MS_G.TIF,Day 1\Tray 9\DJI_20260629154539_0010_MS_R.TIF,Day 1\Tray 9\DJI_20260629154539_0010_MS_RE.TIF,Day 1\Tray 9\DJI_20260629154539_0010_MS_NIR.TIF,Day 1\Tray 9\DJI_20260629154539_0010_D.JPG,Day 1\Tray 9\DJI_20260629154539_0010_MS_G.TIF,Day 1\Tray 9\DJI_20260629154539_0010_MS_R.TIF,Day 1\Tray 9\DJI_20260629154539_0010_MS_RE.TIF,Day 1\Tray 9\DJI_20260629154539_0010_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
1,Day 1,Tray 10,10,11,DJI_20260629154609_0011,DJI_20260629154609_0011,tray_folder_mapping,SKIPPED_EXISTS,ALL,Day 1\Tray 10\DJI_20260629154609_0011_D.JPG,Day 1\Tray 10\DJI_20260629154609_0011_MS_G.TIF,Day 1\Tray 10\DJI_20260629154609_0011_MS_R.TIF,Day 1\Tray 10\DJI_20260629154609_0011_MS_RE.TIF,Day 1\Tray 10\DJI_20260629154609_0011_MS_NIR.TIF,Day 1\Tray 10\DJI_20260629154609_0011_D.JPG,Day 1\Tray 10\DJI_20260629154609_0011_MS_G.TIF,Day 1\Tray 10\DJI_20260629154609_0011_MS_R.TIF,Day 1\Tray 10\DJI_20260629154609_0011_MS_RE.TIF,Day 1\Tray 10\DJI_20260629154609_0011_MS_NIR.TIF,,,,,Expected outputs already exist. Use --redo to overwrite.
