day_order,day,tray,tray_no,capture_id,d_image_path,overlay_path,status,candidate_count,direct_cell_count,uncertain_cell_count,uncertain_cell_ids,square_side,x_pitch,y_pitch,spacing_cv,median_grid_error,max_grid_error,detection_scale,notes
1,Day 1,Tray 1,1,DJI_20260629153749_0001,Day 1\Tray 1\DJI_20260629153749_0001_D.JPG,Day 1\Tray 1\DJI_20260629153749_0001_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,65,5,4;6;23;29;42,292.4795790446868,377.0181444889414,324.977310049652,0.05417478084564209,0.02610377894375001,0.29010675087501514,0.47745358090185674,
1,Day 1,Tray 2,2,DJI_20260629153956_0003,Day 1\Tray 2\DJI_20260629153956_0003_D.JPG,Day 1\Tray 2\DJI_20260629153956_0003_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,70,0,,287.80448012502757,376.6291853061393,319.78275569447504,0.10203742980957031,0.022628121861683722,0.2355666200773942,0.4769475357710652,
1,Day 1,Tray 3,3,DJI_20260629154053_0004,Day 1\Tray 3\DJI_20260629154053_0004_D.JPG,Day 1\Tray 3\DJI_20260629154053_0004_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,69,1,17,288.0890373298935,374.65439627057987,320.09893036654836,0.07220711559057236,0.023734149467797748,0.251470946584543,0.4798720341242335,
1,Day 1,Tray 4,4,DJI_20260629154141_0005,Day 1\Tray 4\DJI_20260629154141_0005_D.JPG,Day 1\Tray 4\DJI_20260629154141_0005_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,69,1,32,291.98572107378493,378.10275834837427,324.42857897087214,0.10947136580944061,0.037783932116627006,0.2472263597242803,0.4778338200159278,
1,Day 1,Tray 5,5,DJI_20260629154235_0006,Day 1\Tray 5\DJI_20260629154235_0006_D.JPG,Day 1\Tray 5\DJI_20260629154235_0006_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,66,4,16;26;57;58,290.2355442731714,377.50851580932573,322.4839380813015,0.04779714345932007,0.05401121980467666,1.0,0.48115477145148355,
1,Day 1,Tray 6,6,DJI_20260629154321_0007,Day 1\Tray 6\DJI_20260629154321_0007_D.JPG,Day 1\Tray 6\DJI_20260629154321_0007_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,64,6,2;3;24;32;35;48,293.13957554035807,377.80758489619126,325.7106394892867,0.06640785187482834,0.08457845757350982,1.0,0.47897817988291647,
1,Day 1,Tray 7,7,DJI_20260629154404_0008,Day 1\Tray 7\DJI_20260629154404_0008_D.JPG,Day 1\Tray 7\DJI_20260629154404_0008_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,64,6,17;22;35;37;46;66,287.4405112358389,376.2015763807498,319.3783458175988,0.060811739414930344,0.04193211830287118,1.0,0.4788507581803671,
1,Day 1,Tray 8,8,DJI_20260629154446_0009,Day 1\Tray 8\DJI_20260629154446_0009_D.JPG,Day 1\Tray 8\DJI_20260629154446_0009_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,67,3,21;23;28,291.5993560433294,377.51789433117415,323.99928449258823,0.03668370842933655,0.06254983683394283,0.2652991594260486,0.4784688995215311,
1,Day 1,Tray 9,9,DJI_20260629154539_0010,Day 1\Tray 9\DJI_20260629154539_0010_D.JPG,Day 1\Tray 9\DJI_20260629154539_0010_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,63,7,7;12;18;29;37;38;50,289.97221345977874,375.6356343784145,322.19134828864304,0.049075815826654434,0.08152533063959908,0.2958927828655116,0.48283261802575106,
1,Day 1,Tray 10,10,DJI_20260629154609_0011,Day 1\Tray 10\DJI_20260629154609_0011_D.JPG,Day 1\Tray 10\DJI_20260629154609_0011_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,64,6,15;16;27;29;38;44,291.406521631893,375.3948340502028,323.7850240354366,0.04393625259399414,0.06765658974387036,0.2924806273132925,0.47897817988291647,
1,Day 1,Tray 11,11,DJI_20260629154652_0012,Day 1\Tray 11\DJI_20260629154652_0012_D.JPG,Day 1\Tray 11\DJI_20260629154652_0012_70_square_cell_grid_overlay.jpg,PASS_AUTO,160,63,7,17;27;33;34;38;43;45,287.2306048764893,377.71792600548,319.1451165294325,0.064066082239151,0.08166097780939939,1.0,0.4805125467164976,
