day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,raw_green_bool,raw_current_green_evidence,tracked_visible_emerged_bool,tracked_visible_emerged,newly_emerged_today,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,disappeared_after_previous_emergence,possible_day7_bug_eaten_bool,possible_day7_bug_eaten,green_pixels,largest_green_component,green_area_percent,rgb_green_cover_percent,zone_pixels,coordinate_source,grid_error,grid_needs_review,notes
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,1,1,1,196.8777778,236.6722222,50.63798826,90.4324327,343.1175673,382.9120117,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.018191077,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,2,1,2,561.3111111,234.5777778,415.0713216,88.33798826,707.5509006,380.8175673,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.0250758,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,3,1,3,994.8611111,217.8222222,848.6213216,71.5824327,1141.100901,364.0620117,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.155661728,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,4,1,4,1323.179195,230.6901238,1176.939406,84.45033425,1469.418985,376.9299133,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,global_lattice_fitted,0.276207971,Yes,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,5,1,5,1662.988889,192.6888889,1516.749099,46.44909937,1809.228678,338.9286784,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.161857637,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,6,1,6,2077.213696,229.047965,1930.973907,82.80817547,2223.453486,375.2877545,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,global_lattice_fitted,0.290106751,Yes,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,7,1,7,2448.405556,228.2944444,2302.165766,82.05465492,2594.645345,374.534234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.017926737,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,8,1,8,2825.405556,224.1055556,2679.165766,77.86576603,2971.645345,370.3453451,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.020648516,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,9,1,9,3200.311111,230.3888889,3054.071322,84.14909937,3346.550901,376.6286784,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.027131758,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,10,1,10,3583.594444,198.9722222,3437.354655,52.7324327,3729.834234,345.2120117,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.082604428,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,11,2,1,192.6888889,563.4055556,46.44909937,417.165766,338.9286784,709.6453451,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.016572139,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,12,2,2,567.5944444,559.2166667,421.3546549,412.9768771,713.834234,705.4564562,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.011411151,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,13,2,3,940.4055556,559.2166667,794.165766,412.9768771,1086.645345,705.4564562,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.024227476,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,14,2,4,1325.783333,563.4055556,1179.543544,417.165766,1472.023123,709.6453451,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.024012528,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,15,2,5,1744.672222,538.2722222,1598.432433,392.0324327,1890.912012,684.5120117,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.141365032,No,
