day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,raw_green_cells,raw_green_percent,tracked_emerged_cells,tracked_emergence_percent,newly_emerged_today,newly_emerged_percent,carried_forward_cells,mean_green_area_percent,mean_rgb_green_cover_percent,possible_day7_bug_eaten_cells,overlay_path,mask_path,status,notes
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,0,0,0,0,0,0,0,0.000283858,0.000283858,0,Day 1\Tray 1\overlays\DJI_20260629153749_0001_visible_emergence_overlay.jpg,Day 1\Tray 1\masks\DJI_20260629153749_0001_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 2,2,N/M,No Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153956_0003,0,0,0,0,0,0,0,0.000137787,0.000137787,0,Day 1\Tray 2\overlays\DJI_20260629153956_0003_visible_emergence_overlay.jpg,Day 1\Tray 2\masks\DJI_20260629153956_0003_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 3,3,N/M,No Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,No,After Day 0 watering; not watered,No,DJI_20260629154053_0004,1,1.4285714285714286,1,1.4285714285714286,1,1.4285714285714286,0,0.00070568,0.00070568,0,Day 1\Tray 3\overlays\DJI_20260629154053_0004_visible_emergence_overlay.jpg,Day 1\Tray 3\masks\DJI_20260629154053_0004_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 4,4,N/M,No Microbes,Heat,Dynamic,Inside,Dynamic,Daily watering,Inside before heat exposure,Daily watering,Daily watering control,No,DJI_20260629154141_0005,4,5.714285714285714,4,5.714285714285714,4,5.714285714285714,0,0.009600434,0.009600434,0,Day 1\Tray 4\overlays\DJI_20260629154141_0005_visible_emergence_overlay.jpg,Day 1\Tray 4\masks\DJI_20260629154141_0005_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 5,5,M,Microbes,Moisture,Inside,Inside,Fixed,Scheduled watering,N/A,No,After Day 0 watering; not watered,No,DJI_20260629154235_0006,2,2.857142857142857,2,2.857142857142857,2,2.857142857142857,0,0.001661183,0.001661183,0,Day 1\Tray 5\overlays\DJI_20260629154235_0006_visible_emergence_overlay.jpg,Day 1\Tray 5\masks\DJI_20260629154235_0006_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 6,6,M,Microbes,Heat,Dynamic,Inside,Dynamic,Daily watering,Inside before heat exposure,Daily watering,Daily watering control,No,DJI_20260629154321_0007,3,4.285714285714286,3,4.285714285714286,3,4.285714285714286,0,0.004187806,0.004187806,0,Day 1\Tray 6\overlays\DJI_20260629154321_0007_visible_emergence_overlay.jpg,Day 1\Tray 6\masks\DJI_20260629154321_0007_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 7,7,M,Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629154404_0008,3,4.285714285714286,3,4.285714285714286,3,4.285714285714286,0,0.003526229,0.003526229,0,Day 1\Tray 7\overlays\DJI_20260629154404_0008_visible_emergence_overlay.jpg,Day 1\Tray 7\masks\DJI_20260629154404_0008_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 8,8,M,Microbes,Heat,Dynamic,Inside,Dynamic,Daily watering,Inside before heat exposure,Daily watering,Daily watering control,No,DJI_20260629154446_0009,3,4.285714285714286,3,4.285714285714286,3,4.285714285714286,0,0.00321702,0.00321702,0,Day 1\Tray 8\overlays\DJI_20260629154446_0009_visible_emergence_overlay.jpg,Day 1\Tray 8\masks\DJI_20260629154446_0009_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 9,9,M,Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629154539_0010,8,11.428571428571429,8,11.428571428571429,8,11.428571428571429,0,0.016324104,0.016324104,0,Day 1\Tray 9\overlays\DJI_20260629154539_0010_visible_emergence_overlay.jpg,Day 1\Tray 9\masks\DJI_20260629154539_0010_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
1,Day 1,29/06/2026,2,0,,Tray 10,10,M,Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,No,After Day 0 watering; not watered,No,DJI_20260629154609_0011,2,2.857142857142857,2,2.857142857142857,2,2.857142857142857,0,0.001094126,0.001094126,0,Day 1\Tray 10\overlays\DJI_20260629154609_0011_visible_emergence_overlay.jpg,Day 1\Tray 10\masks\DJI_20260629154609_0011_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
