group,day_order,day,calendar_date,days_since_day1,tray_count,mean_tracked_emergence_percent,sd_tracked_emergence_percent,mean_observed_green_cover_percent,sd_observed_green_cover_percent,mean_adjusted_green_cover_percent,sd_adjusted_green_cover_percent,mean_newly_emerged_cells,mean_day7_imputed_cells,group_type
No Microbes,1,Day 1,2026-06-29,0,2,4.285714285714286,2.020305089104421,0.005535242258619018,0.005749049692303258,0.005535242258619018,0.005749049692303258,3.0,0.0,Microbe Status
No Microbes,2,Day 2,2026-06-30,1,2,91.42857142857143,2.0203050891044243,0.7612847910509293,0.018414748889485855,0.7612847910509293,0.018414748889485855,61.0,0.0,Microbe Status
No Microbes,3,Day 3,2026-07-01,2,2,99.28571428571429,1.0101525445522022,1.5447575854651694,0.0419562129818202,1.5447575854651694,0.0419562129818202,5.5,0.0,Microbe Status
No Microbes,4,Day 4,2026-07-02,3,2,99.28571428571429,1.0101525445522022,2.6308501454130147,0.3289126994781875,2.6308501454130147,0.3289126994781875,0.0,0.0,Microbe Status
No Microbes,5,Day 5,2026-07-03,4,2,99.28571428571429,1.0101525445522022,3.1785510301577617,0.35265373805756245,3.1785510301577617,0.35265373805756245,0.0,0.0,Microbe Status
No Microbes,6,Day 6,2026-07-04,5,2,99.28571428571429,1.0101525445522022,2.681495036185811,0.33268751699571675,2.681495036185811,0.33268751699571675,0.0,0.0,Microbe Status
No Microbes,7,Day 7,2026-07-07,8,2,99.28571428571429,1.0101525445522022,3.2063490440729434,0.519796681102588,4.3827840459862015,0.5767383746520583,0.0,18.0,Microbe Status
Microbes,1,Day 1,2026-06-29,0,2,4.285714285714286,0.0,0.0037024128454122536,0.000686449469349083,0.0037024128454122536,0.000686449469349083,3.0,0.0,Microbe Status
Microbes,2,Day 2,2026-06-30,1,2,70.71428571428572,13.131983079178744,0.5036265471267158,0.1630244573037258,0.5036265471267158,0.1630244573037258,46.5,0.0,Microbe Status
Microbes,3,Day 3,2026-07-01,2,2,93.57142857142857,1.0101525445522022,1.3519191850519703,0.15992208365209182,1.3519191850519703,0.15992208365209182,16.0,0.0,Microbe Status
Microbes,4,Day 4,2026-07-02,3,2,97.14285714285715,2.0203050891044243,2.58259262919504,0.3465146600013303,2.58259262919504,0.3465146600013303,2.5,0.0,Microbe Status
