group,tray_count,mean_final_tracked_emergence_percent,sd_final_tracked_emergence_percent,mean_final_observed_green_cover_percent,sd_final_observed_green_cover_percent,mean_final_adjusted_green_cover_percent,sd_final_adjusted_green_cover_percent,mean_day7_imputed_cells,sd_day7_imputed_cells,mean_day7_mean_adjustment_difference_pp,sd_day7_mean_adjustment_difference_pp,mean_emergence_rate_day1_to_final_pp_per_day,sd_emergence_rate_day1_to_final_pp_per_day,mean_observed_green_cover_rate_day1_to_final_pp_per_day,sd_observed_green_cover_rate_day1_to_final_pp_per_day,mean_adjusted_green_cover_rate_day1_to_final_pp_per_day,sd_adjusted_green_cover_rate_day1_to_final_pp_per_day,mean_observed_green_cover_rate_day6_to_day7_pp_per_day,sd_observed_green_cover_rate_day6_to_day7_pp_per_day,mean_adjusted_green_cover_rate_day6_to_day7_pp_per_day,sd_adjusted_green_cover_rate_day6_to_day7_pp_per_day,mean_t50_elapsed_days,sd_t50_elapsed_days,mean_mean_first_visible_emergence_elapsed_days,sd_mean_first_visible_emergence_elapsed_days,mean_overall_observed_rgb_score,sd_overall_observed_rgb_score,mean_overall_adjusted_rgb_score,sd_overall_adjusted_rgb_score,group_type,mean_emergence_rate_day1_to_day7_pp_per_day,mean_observed_green_cover_rate_day1_to_day7_pp_per_day,mean_adjusted_green_cover_rate_day1_to_day7_pp_per_day
Microbes,6,97.61904761904763,1.9518001458970646,4.14315283282927,2.7697843425682844,5.633876132801966,1.6497682055213652,15.166666666666666,20.044118006703776,1.4907232999726963,2.3410879157171673,11.57738095238095,0.5580654753968672,0.517268886051368,0.3464782358513062,0.703609298547955,0.20645275932665944,0.17648339706383695,0.9126201399800788,0.6733911637214023,0.22764032557274738,0.9321975582685905,0.46087334228459176,0.0,0.0,59.52114883415239,21.41398355515083,56.68550270922555,25.140582213955966,Microbe Status,11.57738095238095,0.517268886051368,0.703609298547955
No Microbes,6,97.61904761904763,2.809120229286217,3.3383780835789483,1.8822930654948051,5.167610207537034,1.7730855267156969,17.833333333333332,22.02195873819281,1.8292321239580849,3.0960205899016917,11.93452380952381,0.3075716829229475,0.4170152049083045,0.23523008495157052,0.6456692204030651,0.2216936953205611,0.07252915516830792,0.8787391514475754,0.6822731964876695,0.333998374640427,0.8917264631745505,0.3692660717723661,0.0,0.0,59.30360549377894,13.488771537495284,57.35022728889382,26.378073832394204,Microbe Status,11.93452380952381,0.4170152049083045,0.6456692204030651
Heat,4,98.92857142857143,1.3677530110804832,4.905214113379103,2.0357667834842066,5.587197141770325,1.4613481376095057,11.0,8.717797887081348,0.681983028391222,0.5920329850113443,11.830357142857142,0.1709691263850611,0.612574410728386,0.25452646796931394,0.6978222892772887,0.18269018548103982,0.4376079577243351,0.3067129706297165,0.6649356338547423,0.12447486487510935,0.6132384781936282,0.1306700519073963,0.0,0.0,75.58955978225576,8.210523900913158,68.06746497642712,8.47160004893397,Treatment Type,11.830357142857142,0.612574410728386,0.6978222892772887
Ideal,4,96.42857142857143,2.973808570665901,2.936957390108044,2.875004840368683,5.673032415191001,2.012704923248117,24.5,28.861739379323623,2.736075025082956,3.7983632796749482,11.5625,0.8035714285714279,0.3664861744926133,0.35962610534904166,0.7084955526279828,0.2520719619422359,-0.1726615567412828,1.1472771393660544,0.7393634516197026,0.36622030438056935,0.930753614577144,0.4009070070956481,0.0,0.0,49.225939057849104,14.38071540658334,53.53446044612407,31.79388244402822,Treatment Type,11.5625,0.3664861744926133,0.7084955526279828
Moisture,4,97.5,2.1428571428571392,3.3801248711251795,2.0214032331102567,4.941999953547173,1.8387570929828736,14.0,21.023796041628636,1.5618750824219934,2.7594330750083,11.875,0.23053472298853647,0.42236555121850944,0.2526933473463768,0.6175999365212587,0.22980329485134116,0.10857242736516498,1.0133073580710594,0.6291974548391628,0.3381355265085246,1.1918939393939394,0.4256429534049488,0.0,0.0,53.42163265179212,16.068624422670243,49.45166957462787,29.590688945448765,Treatment Type,11.875,0.42236555121850944,0.6175999365212587
Microbes | Heat,2,98.57142857142857,2.0203050891044243,6.604079182685264,0.7863081493238738,6.791610237554449,0.521099188161739,4.0,5.656854249492381,0.18753105486918542,0.2652089611621351,11.785714285714285,0.25253813613805304,0.8250470962299814,0.09820271248181568,0.8484884780886296,0.06505159233654882,0.7002645794862927,0.04872938633164071,0.7627749311093545,0.039673600722404175,0.7018867924528303,0.1387530287611338,0.0,0.0,82.23406796575213,1.3789012952351283,74.59495293210225,1.7213243924105601,Microbe x Treatment,11.785714285714285,0.8250470962299814,0.8484884780886296
Microbes | Ideal,2,96.42857142857143,1.0101525445522022,3.8109276604095212,3.74560250390752,5.254534551680522,1.7102953184159349,19.0,24.041630560342615,1.443606891271001,2.035307185491585,11.071428571428571,0.7576144084141566,0.47512531176688566,0.4693314960455272,0.6555761731757608,0.21491809785907903,0.2899204593874585,1.0645464163024965,0.7711227564777922,0.3861106878053014,0.9313725490196079,0.5684583927185972,0.0,0.0,49.15398210059043,21.97907873531583,45.20055786672466,14.266887218518606,Microbe x Treatment,11.071428571428571,0.47512531176688566,0.6555761731757608
Microbes | Moisture,2,97.85714285714286,3.0304576336566265,2.0144516553930254,1.5214816344156252,4.8554836091709275,2.496344285752416,22.5,31.81980515339464,2.8410319537779025,4.017825920168042,11.875,0.3788072042070783,0.2516342501572368,0.1902353255112934,0.6067632443794746,0.3119929145097118,-0.4607348476822405,1.2814914758671025,0.48627580357706035,0.05778383085557815,1.1633333333333333,0.7118208263944579,0.0,0.0,47.175396436114596,16.00835094563761,50.260997328849754,44.338291265075036,Microbe x Treatment,11.875,0.2516342501572368,0.6067632443794746
No Microbes | Heat,2,99.28571428571429,1.0101525445522022,3.2063490440729434,0.519796681102588,4.3827840459862015,0.5767383746520583,18.0,0.0,1.1764350019132586,0.056941693549470956,11.875,0.12626906806902716,0.40010172522679055,0.06425595392628564,0.5471561004659478,0.07137366561996938,0.17495133596237739,0.06236972136895709,0.56709633660013,0.08135028588544721,0.5245901639344261,0.02318382889136236,0.0,0.0,68.94505159875939,4.872246237434685,61.53997702075198,6.473690482055106,Microbe x Treatment,11.875,0.40010172522679055,0.5471561004659478
No Microbes | Ideal,2,96.42857142857143,5.050762722761051,2.0629871198065675,2.777071163234468,6.0915302787014785,2.920149208680066,30.0,42.42640687119285,4.028543158894911,5.697220371914534,12.053571428571429,0.6313453403451313,0.2578470372183409,0.34714680637222434,0.7614149320802048,0.36500574011709247,-0.6352435728700241,1.3998381851094286,0.7076041467616131,0.4992352721954162,0.9301346801346801,0.3987891779419082,,0.0,49.29789601510778,11.71811902770346,61.86836302552349,50.50933659113378,Microbe x Treatment,12.053571428571429,0.2578470372183409,0.7614149320802048
