day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,raw_green_bool,raw_current_green_evidence,tracked_visible_emerged_bool,tracked_visible_emerged,newly_emerged_today,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,disappeared_after_previous_emergence,possible_day7_bug_eaten_bool,possible_day7_bug_eaten,green_pixels,largest_green_component,green_area_percent,rgb_green_cover_percent,zone_pixels,coordinate_source,grid_error,grid_needs_review,notes,environment_group,microbe_treatment,treatment_environment,microbe_environment,observed_green_area_percent,adjusted_green_area_percent,day7_imputed,imputation_reason,imputation_method,previous_growth_rate_pp_per_day,previous_observed_green_percent,previous_observed_day_order,previous_observed_days_since_day1,adjusted_raw_current_green_evidence,adjustment_difference_pp
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,1,1,1,187.81388888888887,231.15555555555557,45.64878706588583,88.9904537325525,329.9789907118919,373.32065737855856,284.3302036460061,False,No,True,Yes,No,Yes,Day 2,2.0,2026-06-30,Yes,True,Yes,0,0,0.0,0.0,80656,direct_cup_evidence,0.0246085301148606,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,10.387652046447808,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.7423936309035537,5.160471153737147,6.0,5.0,Yes,10.387652046447808
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,2,1,2,548.9944444444444,229.09166666666667,406.8293426214414,86.9265648436636,691.1595462674475,371.2567684896697,284.3302036460061,False,No,True,Yes,No,Yes,Day 3,3.0,2026-07-01,Yes,True,Yes,0,0,0.0,0.0,80656,direct_cup_evidence,0.0114924566959009,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,8.227081696891371,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.265624525136027,4.43020812148329,6.0,5.0,Yes,8.227081696891371
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,3,1,3,926.6861111111112,224.96388888888887,784.5210092881081,82.79878706588582,1068.851212934114,367.1289907118919,284.3302036460061,False,No,True,Yes,No,Yes,Day 3,3.0,2026-07-01,Yes,True,Yes,0,0,0.0,0.0,80656,direct_cup_evidence,0.0230706213995561,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,7.812592899176211,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.240769109136386,4.090285571767053,6.0,5.0,Yes,7.812592899176211
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,4,1,4,1294.0583333333334,227.02777777777777,1151.8932315103302,84.86267595477472,1436.2234351563363,369.1928796007808,284.3302036460061,False,No,True,Yes,No,Yes,Day 3,3.0,2026-07-01,Yes,True,Yes,0,0,0.0,0.0,80656,direct_cup_evidence,0.0207744560400862,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,7.0660231095539885,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.0980997119366043,3.771723973744176,6.0,5.0,Yes,7.0660231095539885
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,5,1,5,1667.6222222222225,229.09166666666667,1525.457120399219,86.9265648436636,1809.7873240452248,371.2567684896697,284.3302036460061,False,No,True,Yes,No,Yes,Day 2,2.0,2026-06-30,Yes,True,Yes,0,0,0.0,0.0,80940,direct_cup_evidence,0.017179025619738,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,9.04857922019306,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.4823359839850418,4.601571268237935,6.0,5.0,Yes,9.04857922019306
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,6,1,6,2041.1861111111111,239.4111111111111,1899.021009288108,97.24600928810804,2183.351212934114,381.57621293411415,284.3302036460061,False,No,True,Yes,No,Yes,Day 2,2.0,2026-06-30,Yes,True,Yes,0,0,0.0,0.0,80940,direct_cup_evidence,0.0117963261165109,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,9.193232342445555,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.288260011375825,5.32845230831808,6.0,5.0,Yes,9.193232342445555
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,7,1,7,2410.6222222222223,233.21944444444443,2268.457120399219,91.05434262144138,2552.787324045225,375.3845462674475,284.3302036460061,False,No,True,Yes,No,Yes,Day 3,3.0,2026-07-01,Yes,True,Yes,0,0,0.0,0.0,80940,direct_cup_evidence,0.0135136085121948,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,13.0405044167861,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,2.2427411190100974,6.312281059755807,6.0,5.0,Yes,13.0405044167861
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,8,1,8,2784.186111111111,233.21944444444443,2642.021009288108,91.05434262144138,2926.351212934114,375.3845462674475,284.3302036460061,False,No,True,Yes,No,Yes,Day 2,2.0,2026-06-30,Yes,True,Yes,0,0,0.0,0.0,80656,direct_cup_evidence,0.0162650543759443,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,9.816607309959975,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.4689094998025882,5.409878810552211,6.0,5.0,Yes,9.816607309959975
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,9,1,9,3147.430555555556,237.3472222222222,3005.2654537325525,95.18212039921916,3289.5956573785584,379.5123240452252,284.3302036460061,False,No,True,Yes,No,Yes,Day 2,2.0,2026-06-30,Yes,True,Yes,0,0,0.0,0.0,81225,direct_cup_evidence,0.029879083383692,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,8.368224013585174,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.2633344426606459,4.578220685603236,6.0,5.0,Yes,8.368224013585174
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,10,1,10,3514.802777777777,245.60277777777776,3372.6376759547747,103.4376759547747,3656.9678796007806,387.7678796007808,284.3302036460061,False,No,True,Yes,No,Yes,Day 2,2.0,2026-06-30,Yes,True,Yes,0,0,0.0,0.0,80940,direct_cup_evidence,0.0461835623641837,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,13.280421321401404,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,2.033627272876526,7.179539502771826,6.0,5.0,Yes,13.280421321401404
7,Day 7,2026-07-07,10,8,3.0,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,Yes,DJI_20260707125025_0001,11,2,1,146.5361111111111,540.7388888888888,4.371009288108048,398.5737870658858,288.7012129341141,682.9039907118919,284.3302036460061,False,No,True,Yes,No,Yes,Day 2,2.0,2026-06-30,Yes,True,Yes,0,0,0.0,0.0,80940,direct_cup_evidence,0.1081245517837632,No,Possible Day 7 bug-eaten/missing crop. Observed value preserved; adjustment belongs in Script 05.,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,8.512888319258778,Yes,Day 7 cell had no current green evidence but showed visible green evidence earlier; treated as possible bug-eaten/missing crop.,Estimated from the latest prior observed green cover and the previous positive growth rate. Negative previous growth was not projected.,1.3356597051209986,4.505909203895781,6.0,5.0,Yes,8.512888319258778
