day_order,day,calendar_date,days_since_day1,days_since_previous_photo,tray,tray_no,microbe_status,treatment,label_environment,observed_environment,environment_group,microbe_treatment,treatment_environment,microbe_environment,heat_phase,moisture_phase,moisture_watered_today,capture_id,cells_processed,raw_green_cells,tracked_emerged_cells,newly_emerged_cells,observed_green_cover_percent,adjusted_green_cover_percent,day7_imputed_cells,mean_adjustment_difference_pp,raw_green_percent,tracked_emergence_percent,newly_emerged_percent
1,Day 1,2026-06-29,0,,Tray 4,4,No Microbes,Heat,Dynamic,Inside,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260629154141_0005,70,4,4,4,0.009600434281425086,0.009600434281425086,0,0.0,5.714285714285714,5.714285714285714,5.714285714285714
1,Day 1,2026-06-29,0,,Tray 6,6,Microbes,Heat,Dynamic,Inside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260629154321_0007,70,3,3,3,0.004187805920130897,0.004187805920130897,0,0.0,4.285714285714286,4.285714285714286,4.285714285714286
1,Day 1,2026-06-29,0,,Tray 8,8,Microbes,Heat,Dynamic,Inside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260629154446_0009,70,3,3,3,0.00321701977069361,0.00321701977069361,0,0.0,4.285714285714286,4.285714285714286,4.285714285714286
1,Day 1,2026-06-29,0,,Tray 11,11,No Microbes,Heat,Dynamic,Inside,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260629154652_0012,70,2,2,2,0.00147005023581295,0.00147005023581295,0,0.0,2.857142857142857,2.857142857142857,2.857142857142857
2,Day 2,2026-06-30,1,1.0,Tray 4,4,No Microbes,Heat,Dynamic,Inside,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260630132544_0004,70,65,65,61,0.7743059848645322,0.7743059848645322,0,0.0,92.85714285714286,92.85714285714286,87.14285714285714
2,Day 2,2026-06-30,1,1.0,Tray 6,6,Microbes,Heat,Dynamic,Inside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260630132636_0006,70,56,56,53,0.6189022463854372,0.6189022463854372,0,0.0,80.0,80.0,75.71428571428571
2,Day 2,2026-06-30,1,1.0,Tray 8,8,Microbes,Heat,Dynamic,Inside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260630132807_0008,70,43,43,40,0.38835084786799456,0.38835084786799456,0,0.0,61.42857142857143,61.42857142857143,57.14285714285714
2,Day 2,2026-06-30,1,1.0,Tray 11,11,No Microbes,Heat,Dynamic,Inside,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,Inside before heat exposure,Daily watering control,Daily watering,DJI_20260630132921_0011,70,63,63,61,0.7482635972373264,0.7482635972373264,0,0.0,90.0,90.0,87.14285714285714
3,Day 3,2026-07-01,2,1.0,Tray 4,4,No Microbes,Heat,Dynamic,Outside,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,Moved outside; heat exposure begins,Daily watering control,Daily watering,DJI_20260701112636_0004,70,70,70,5,1.5744251081775213,1.5744251081775213,0,0.0,100.0,100.0,7.142857142857142
3,Day 3,2026-07-01,2,1.0,Tray 6,6,Microbes,Heat,Dynamic,Outside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Moved outside; heat exposure begins,Daily watering control,Daily watering,DJI_20260701112808_0006,70,65,65,9,1.4650011748638467,1.4650011748638467,0,0.0,92.85714285714286,92.85714285714286,12.857142857142856
3,Day 3,2026-07-01,2,1.0,Tray 8,8,Microbes,Heat,Dynamic,Outside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Moved outside; heat exposure begins,Daily watering control,Daily watering,DJI_20260701112943_0008,70,66,66,23,1.2388371952400938,1.2388371952400938,0,0.0,94.28571428571428,94.28571428571428,32.857142857142854
