moisture_phase,moisture_watered_today,fixed_environment,microbe_status,day_order,day,days_since_day1,tray_count,mean_observed_ndvi,mean_adjusted_ndvi,mean_observed_ndre,mean_adjusted_ndre,mean_day7_imputed_cells
Drying after Day 0 watering,No,Inside,Microbes,1,Day 1,0,1,0.3274781627314431,0.3274781627314431,-0.0237356883542296,-0.0237356883542296,0.0
Drying after Day 0 watering,No,Inside,No Microbes,1,Day 1,0,1,0.3234026231936046,0.3234026231936046,-0.04489244702937343,-0.04489244702937343,0.0
Drying after Day 0 watering,No,Outside,Microbes,1,Day 1,0,1,0.3199477642774582,0.3199477642774582,-0.024403130448107307,-0.024403130448107307,0.0
Drying after Day 0 watering,No,Outside,No Microbes,1,Day 1,0,1,0.30556707850524356,0.30556707850524356,-0.06393493395298716,-0.06393493395298716,0.0
Drying after Day 0 watering,No,Inside,Microbes,2,Day 2,1,1,0.3028740099498204,0.3028740099498204,-0.03130425352179109,-0.03130425352179109,0.0
Drying after Day 0 watering,No,Inside,No Microbes,2,Day 2,1,1,0.30342844341482433,0.30342844341482433,-0.05573191520358831,-0.05573191520358831,0.0
Drying after Day 0 watering,No,Outside,Microbes,2,Day 2,1,1,0.31278786872114456,0.31278786872114456,-0.03678564615547652,-0.03678564615547652,0.0
Drying after Day 0 watering,No,Outside,No Microbes,2,Day 2,1,1,0.2823310920170375,0.2823310920170375,-0.07889240634228496,-0.07889240634228496,0.0
Watered on Day 3,Yes,Inside,Microbes,3,Day 3,2,1,0.30166712701320647,0.30166712701320647,-0.040385807664798795,-0.040385807664798795,0.0
Watered on Day 3,Yes,Inside,No Microbes,3,Day 3,2,1,0.290922446336065,0.290922446336065,-0.05464578284216774,-0.05464578284216774,0.0
Watered on Day 3,Yes,Outside,Microbes,3,Day 3,2,1,0.304300702043942,0.304300702043942,-0.03383408729652204,-0.03383408729652204,0.0
Watered on Day 3,Yes,Outside,No Microbes,3,Day 3,2,1,0.29282978773117063,0.29282978773117063,-0.051998859550803855,-0.051998859550803855,0.0
Unwatered drying period,No,Inside,Microbes,4,Day 4,3,1,0.32292388464723315,0.32292388464723315,-0.032154057399436255,-0.032154057399436255,0.0
Unwatered drying period,No,Inside,No Microbes,4,Day 4,3,1,0.2926594789539064,0.2926594789539064,-0.06351178615753135,-0.06351178615753135,0.0
Unwatered drying period,No,Outside,Microbes,4,Day 4,3,1,0.319060400554112,0.319060400554112,-0.0316235927137313,-0.0316235927137313,0.0
Unwatered drying period,No,Outside,No Microbes,4,Day 4,3,1,0.3016995549201965,0.3016995549201965,-0.04745643085001831,-0.04745643085001831,0.0
Unwatered drying period,No,Inside,Microbes,5,Day 5,4,1,0.3065024891069957,0.3065024891069957,-0.033345116721466145,-0.033345116721466145,0.0
Unwatered drying period,No,Inside,No Microbes,5,Day 5,4,1,0.30627146916730064,0.30627146916730064,-0.04494098551305273,-0.04494098551305273,0.0
Unwatered drying period,No,Outside,Microbes,5,Day 5,4,1,0.3031196883746556,0.3031196883746556,-0.029497906183990206,-0.029497906183990206,0.0
Unwatered drying period,No,Outside,No Microbes,5,Day 5,4,1,0.2992617232458932,0.2992617232458932,-0.04604091607699432,-0.04604091607699432,0.0
Watered on Day 6,Yes,Inside,Microbes,6,Day 6,5,1,0.3060092662061964,0.3060092662061964,-0.0401037148000406,-0.0401037148000406,0.0
Watered on Day 6,Yes,Inside,No Microbes,6,Day 6,5,1,0.29970670895917073,0.29970670895917073,-0.04940324758312528,-0.04940324758312528,0.0
Watered on Day 6,Yes,Outside,Microbes,6,Day 6,5,1,0.3123409780008452,0.3123409780008452,-0.024942933014660502,-0.024942933014660502,0.0
Watered on Day 6,Yes,Outside,No Microbes,6,Day 6,5,1,0.30500300526618956,0.30500300526618956,-0.04746714441903995,-0.04746714441903995,0.0
Final unwatered interval,No,Inside,Microbes,7,Day 7,8,1,0.29273010002715244,0.2852906663502966,-0.040541765486289294,-0.04950857639695247,45.0
Final unwatered interval,No,Inside,No Microbes,7,Day 7,8,1,0.28879697237695967,0.2933168438928468,-0.06536877903022932,-0.059843979908951656,9.0
Final unwatered interval,No,Outside,Microbes,7,Day 7,8,1,0.2972265822546823,0.2972265822546823,-0.05320655110159086,-0.05320655110159086,0.0
Final unwatered interval,No,Outside,No Microbes,7,Day 7,8,1,0.2767056441732815,0.27724199273756567,-0.08113991974719928,-0.08113477925903026,2.0
