group,day_order,day,calendar_date,days_since_day1,tray_count,mean_observed_ndvi,sd_observed_ndvi,mean_adjusted_ndvi,sd_adjusted_ndvi,mean_observed_ndre,sd_observed_ndre,mean_adjusted_ndre,sd_adjusted_ndre,mean_day7_imputed_cells,group_type
Microbes,1,Day 1,2026-06-29,0,6,0.3295213883831387,0.007194952598387749,0.3295213883831387,0.007194952598387749,-0.019219759592566048,0.01061261366433573,-0.019219759592566048,0.01061261366433573,0.0,Microbe Status
Microbes,2,Day 2,2026-06-30,1,6,0.31838690613706905,0.01078613990783187,0.31838690613706905,0.01078613990783187,-0.01782797920306964,0.013359666243973974,-0.01782797920306964,0.013359666243973974,0.0,Microbe Status
Microbes,3,Day 3,2026-07-01,2,6,0.3126772859976405,0.009850210219934085,0.3126772859976405,0.009850210219934085,-0.0225530436420307,0.014153445048794528,-0.0225530436420307,0.014153445048794528,0.0,Microbe Status
Microbes,4,Day 4,2026-07-02,3,6,0.3276393981206985,0.007535811826606264,0.3276393981206985,0.007535811826606264,-0.02141413983687403,0.009279336380351997,-0.02141413983687403,0.009279336380351997,0.0,Microbe Status
Microbes,5,Day 5,2026-07-03,4,6,0.3081057097585428,0.010095928775734588,0.3081057097585428,0.010095928775734588,-0.024337756801555952,0.011452887314859425,-0.024337756801555952,0.011452887314859425,0.0,Microbe Status
Microbes,6,Day 6,2026-07-04,5,6,0.30933155832546094,0.00561685206422544,0.30933155832546094,0.00561685206422544,-0.03165054605297402,0.007964742128151734,-0.03165054605297402,0.007964742128151734,0.0,Microbe Status
Microbes,7,Day 7,2026-07-07,8,6,0.2955577734680403,0.007574314164270481,0.29000272197382787,0.013606923295368322,-0.052108358799125065,0.006900510748812923,-0.056515756601618734,0.006245395649075621,15.166666666666666,Microbe Status
No Microbes,1,Day 1,2026-06-29,0,6,0.3135061324707099,0.006614138742153757,0.3135061324707099,0.006614138742153757,-0.04988290789433878,0.011100134328840331,-0.04988290789433878,0.011100134328840331,0.0,Microbe Status
No Microbes,2,Day 2,2026-06-30,1,6,0.30160339818823906,0.010231494987816262,0.30160339818823906,0.010231494987816262,-0.04473198968917127,0.02057153982890314,-0.04473198968917127,0.02057153982890314,0.0,Microbe Status
No Microbes,3,Day 3,2026-07-01,2,6,0.293160198132197,0.010918949040928688,0.293160198132197,0.010918949040928688,-0.05174785385883985,0.013440989716746935,-0.05174785385883985,0.013440989716746935,0.0,Microbe Status
