package_section,source_script,file_category,original_file_name,package_file_name,original_path,package_path,size_kb,description,copied
Final Word reports,Script 05 - RGB Growth Rate and Treatment Comparison,Word report,rgb_growth_treatment_short_report.docx,S05__rgb_growth_treatment_short_report.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\rgb_growth_treatment_short_report.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\01_Final_Word_Reports\S05__rgb_growth_treatment_short_report.docx,663.04,RGB treatment or growth-comparison Word report.,Yes
Final Word reports,Script 06 - MS Cell Grid Detection,Word report,ms_independent_grid_work_process.docx,S06__ms_independent_grid_work_process.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\06_MS_Cell_Grid_Detection\_reports\ms_independent_grid_work_process.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\01_Final_Word_Reports\S06__ms_independent_grid_work_process.docx,37.78,Work-process report explaining the processing method.,Yes
Final Word reports,Script 07 - MS Vegetation Indices,Word report,ms_vegetation_indices_work_process.docx,S07__ms_vegetation_indices_work_process.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\07_MS_Vegetation_Indices\_reports\ms_vegetation_indices_work_process.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\01_Final_Word_Reports\S07__ms_vegetation_indices_work_process.docx,37.03,Work-process report explaining the processing method.,Yes
Final Word reports,Script 08 - MS Treatment Comparison,Word report,ms_treatment_comparison_report.docx,S08__ms_treatment_comparison_report.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\ms_treatment_comparison_report.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\01_Final_Word_Reports\S08__ms_treatment_comparison_report.docx,1333.6,Multispectral treatment-comparison Word report.,Yes
Final Word reports,Script 09 - Final RGB + MS Synthesis,Word report,final_rgb_ms_synthesis_report.docx,S09__final_rgb_ms_synthesis_report.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\09_Final_RGB_MS_Synthesis\_reports\final_rgb_ms_synthesis_report.docx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\01_Final_Word_Reports\S09__final_rgb_ms_synthesis_report.docx,472.23,Final Third Trial RGB + MS synthesis Word report.,Yes
Excel workbooks,Script 04 - RGB Visible Emergence,Excel workbook,visible_emergence_report.xlsx,S04__visible_emergence_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\04_Visible_Emergence\_reports\visible_emergence_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\02_Final_Excel_Workbooks\S04__visible_emergence_report.xlsx,1498.77,Copied workflow output.,Yes
Excel workbooks,Script 05 - RGB Growth Rate and Treatment Comparison,Excel workbook,rgb_growth_treatment_report.xlsx,S05__rgb_growth_treatment_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\rgb_growth_treatment_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\02_Final_Excel_Workbooks\S05__rgb_growth_treatment_report.xlsx,111.46,Copied workflow output.,Yes
Excel workbooks,Script 06 - MS Cell Grid Detection,Excel workbook,ms_cell_grid_report.xlsx,S06__ms_cell_grid_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\06_MS_Cell_Grid_Detection\_reports\ms_cell_grid_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\02_Final_Excel_Workbooks\S06__ms_cell_grid_report.xlsx,1493.61,Copied workflow output.,Yes
Excel workbooks,Script 07 - MS Vegetation Indices,Excel workbook,ms_vegetation_index_report.xlsx,S07__ms_vegetation_index_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\07_MS_Vegetation_Indices\_reports\ms_vegetation_index_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\02_Final_Excel_Workbooks\S07__ms_vegetation_index_report.xlsx,2273.59,Copied workflow output.,Yes
Excel workbooks,Script 08 - MS Treatment Comparison,Excel workbook,ms_treatment_comparison_report.xlsx,S08__ms_treatment_comparison_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\ms_treatment_comparison_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\02_Final_Excel_Workbooks\S08__ms_treatment_comparison_report.xlsx,120.92,Multispectral treatment-comparison Word report.,Yes
Excel workbooks,Script 09 - Final RGB + MS Synthesis,Excel workbook,final_rgb_ms_synthesis_report.xlsx,S09__final_rgb_ms_synthesis_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\09_Final_RGB_MS_Synthesis\_reports\final_rgb_ms_synthesis_report.xlsx,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\02_Final_Excel_Workbooks\S09__final_rgb_ms_synthesis_report.xlsx,14.44,Final Third Trial RGB + MS synthesis Word report.,Yes
Key CSV tables,Script 04 - RGB Visible Emergence,CSV table,first_emergence_summary.csv,S04__first_emergence_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\04_Visible_Emergence\_reports\first_emergence_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S04__first_emergence_summary.csv,99.95,Copied workflow output.,Yes
Key CSV tables,Script 04 - RGB Visible Emergence,CSV table,visible_emergence_cell_results.csv,S04__visible_emergence_cell_results.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\04_Visible_Emergence\_reports\visible_emergence_cell_results.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S04__visible_emergence_cell_results.csv,2557.58,Copied workflow output.,Yes
Key CSV tables,Script 04 - RGB Visible Emergence,CSV table,visible_emergence_tray_summary.csv,S04__visible_emergence_tray_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\04_Visible_Emergence\_reports\visible_emergence_tray_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S04__visible_emergence_tray_summary.csv,37.77,Copied workflow output.,Yes
