tray_no,tray,cell_id,row,column,label_code,microbe_status,treatment,label_environment,environment_type,watering_rule,ever_visible_emerged,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,possible_day7_bug_eaten,notes
1,Tray 1,1,1,1,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,2,1,2,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,3,1,3,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,4,1,4,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,5,1,5,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,6,1,6,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,7,1,7,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,8,1,8,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,9,1,9,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,10,1,10,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
