group,day_order,day,calendar_date,days_since_day1,tray_count,mean_tracked_emergence_percent,sd_tracked_emergence_percent,mean_observed_green_cover_percent,sd_observed_green_cover_percent,mean_adjusted_green_cover_percent,sd_adjusted_green_cover_percent,mean_newly_emerged_cells,mean_day7_imputed_cells,group_type
Microbes,1,Day 1,2026-06-29,0,6,5.0,3.226168511610347,0.0050017444183263855,0.005668325112195391,0.0050017444183263855,0.005668325112195391,3.5,0.0,Microbe Status
Microbes,2,Day 2,2026-06-30,1,6,57.38095238095238,28.960446871434797,0.3766593530854296,0.3051869117993909,0.3766593530854296,0.3051869117993909,36.666666666666664,0.0,Microbe Status
Microbes,3,Day 3,2026-07-01,2,6,89.52380952380952,11.053364679965068,1.235163670261284,0.5531117073762996,1.235163670261284,0.5531117073762996,22.5,0.0,Microbe Status
Microbes,4,Day 4,2026-07-02,3,6,95.0,5.010193690500056,2.2805736078175065,0.8701015246658064,2.2805736078175065,0.8701015246658064,3.8333333333333335,0.0,Microbe Status
Microbes,5,Day 5,2026-07-03,4,6,96.66666666666667,2.1507790077402342,2.949409540024725,0.9746923950417227,2.949409540024725,0.9746923950417227,1.1666666666666667,0.0,Microbe Status
Microbes,6,Day 6,2026-07-04,5,6,97.61904761904763,1.9518001458970635,3.6137026416377593,1.3185034171983794,3.6137026416377593,1.3185034171983794,0.6666666666666666,0.0,Microbe Status
Microbes,7,Day 7,2026-07-07,8,6,97.61904761904763,1.9518001458970635,4.14315283282927,2.769784342568285,5.633876132801966,1.6497682055213645,0.0,15.166666666666666,Microbe Status
No Microbes,1,Day 1,2026-06-29,0,6,2.142857142857143,2.166535841157586,0.00225644431251184,0.003638009997267541,0.00225644431251184,0.003638009997267541,1.5,0.0,Microbe Status
No Microbes,2,Day 2,2026-06-30,1,6,62.61904761904762,27.336402681490956,0.3601113442421811,0.3244203972766029,0.3601113442421811,0.3244203972766029,42.333333333333336,0.0,Microbe Status
No Microbes,3,Day 3,2026-07-01,2,6,94.28571428571429,6.127888739864922,1.2219864854383988,0.35108794345597977,1.2219864854383988,0.35108794345597977,22.166666666666668,0.0,Microbe Status
