heat_phase,microbe_status,day_order,day,days_since_day1,tray_count,mean_tracked_emergence_percent,mean_observed_green_cover_percent,mean_adjusted_green_cover_percent,mean_day7_imputed_cells
Inside before heat exposure,Microbes,1,Day 1,0,2,4.285714285714286,0.0037024128454122536,0.0037024128454122536,0.0
Inside before heat exposure,No Microbes,1,Day 1,0,2,4.285714285714286,0.005535242258619018,0.005535242258619018,0.0
Inside before heat exposure,Microbes,2,Day 2,1,2,70.71428571428572,0.5036265471267158,0.5036265471267158,0.0
Inside before heat exposure,No Microbes,2,Day 2,1,2,91.42857142857143,0.7612847910509293,0.7612847910509293,0.0
Moved outside; heat exposure begins,Microbes,3,Day 3,2,2,93.57142857142857,1.3519191850519703,1.3519191850519703,0.0
Moved outside; heat exposure begins,No Microbes,3,Day 3,2,2,99.28571428571429,1.5447575854651694,1.5447575854651694,0.0
Outside heat exposure,Microbes,4,Day 4,3,2,97.14285714285715,2.58259262919504,2.58259262919504,0.0
Outside heat exposure,No Microbes,4,Day 4,3,2,99.28571428571429,2.6308501454130147,2.6308501454130147,0.0
Outside heat exposure,Microbes,5,Day 5,4,2,97.14285714285715,3.242499148987025,3.242499148987025,0.0
Outside heat exposure,No Microbes,5,Day 5,4,2,99.28571428571429,3.1785510301577617,3.1785510301577617,0.0
Moved inside; recovery begins,Microbes,6,Day 6,5,2,98.57142857142857,4.503285444226385,4.503285444226385,0.0
Moved inside; recovery begins,No Microbes,6,Day 6,5,2,99.28571428571429,2.681495036185811,2.681495036185811,0.0
Inside recovery; final photo,Microbes,7,Day 7,8,2,98.57142857142857,6.604079182685264,6.791610237554449,4.0
Inside recovery; final photo,No Microbes,7,Day 7,8,2,99.28571428571429,3.2063490440729434,4.3827840459862015,18.0
