tray_no,tray,microbe_status,treatment,label_environment,fixed_environment,environment_group,microbe_treatment,treatment_environment,microbe_environment,available_day_count,final_day_order,final_calendar_date,final_days_since_day1,day1_tracked_emergence_percent,final_tracked_emergence_percent,day1_observed_green_cover_percent,final_observed_green_cover_percent,day1_adjusted_green_cover_percent,final_adjusted_green_cover_percent,day7_imputed_cells,day7_mean_adjustment_difference_pp,emergence_rate_day1_to_final_pp_per_day,observed_green_cover_rate_day1_to_final_pp_per_day,adjusted_green_cover_rate_day1_to_final_pp_per_day,observed_green_cover_rate_day1_to_day6_pp_per_day,adjusted_green_cover_rate_day1_to_day6_pp_per_day,observed_green_cover_rate_day6_to_day7_pp_per_day,adjusted_green_cover_rate_day6_to_day7_pp_per_day,observed_day7_change_from_day6_pp,adjusted_day7_change_from_day6_pp,t50_elapsed_days,emergence_rate_day1_to_day7_pp_per_day,observed_green_cover_rate_day1_to_day7_pp_per_day,adjusted_green_cover_rate_day1_to_day7_pp_per_day,mean_first_visible_emergence_day_order,median_first_visible_emergence_day_order,mean_first_visible_emergence_elapsed_days,median_first_visible_emergence_elapsed_days,final_tracked_emergence_percent_observed_score,final_observed_green_cover_percent_observed_score,observed_green_cover_rate_day1_to_final_pp_per_day_observed_score,emergence_rate_day1_to_final_pp_per_day_observed_score,t50_observed_score,overall_observed_rgb_score,overall_observed_rgb_rank,final_tracked_emergence_percent_adjusted_score,final_adjusted_green_cover_percent_adjusted_score,adjusted_green_cover_rate_day1_to_final_pp_per_day_adjusted_score,emergence_rate_day1_to_final_pp_per_day_adjusted_score,t50_adjusted_score,overall_adjusted_rgb_score,overall_adjusted_rgb_rank
1,Tray 1,No Microbes,Ideal,Inside,Inside,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,7,7,2026-07-07,8.0,0.0,100.0,0.0002838575235601743,0.09930126844586172,0.0002838575235601743,8.156387586235684,60,8.057086317789823,12.5,0.012377176365287693,1.0195129660890156,0.9948506698593226,0.9948506698593226,-1.6250786461247706,1.0606167931385038,-4.875235938374312,3.1818503794155113,0.648148148148148,12.5,0.012377176365287693,1.0195129660890156,,,,,100.0,0.0,0.0,100.0,87.91928721174004,57.583857442348005,8,100.0,100.0,100.0,100.0,87.91928721174004,97.583857442348,1
5,Tray 5,Microbes,Moisture,Inside,Inside,Inside,Microbes | Moisture,Moisture | Inside,Microbes | Inside,7,7,2026-07-07,8.0,2.857142857142857,100.0,0.0016611825111769916,0.9386016742469449,0.0016611825111769916,6.62066558180275,45,5.682063907555805,12.142857142857142,0.11711756146697098,0.8273755499114466,1.007519794527529,1.007519794527529,-1.3668861603006255,0.5271351422179761,-4.100658480901877,1.5814054266539284,0.66,12.142857142857142,0.11711756146697098,0.8273755499114466,1.0,1.0,0.0,0.0,100.0,11.886791531842716,11.873849961826343,81.81818181818178,86.89622641509433,58.49500994538903,7,100.0,69.68622286155819,69.6638876482086,81.81818181818178,86.89622641509433,81.61290374860857,2
8,Tray 8,Microbes,Heat,Dynamic Heat,Dynamic Heat,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,7,7,2026-07-07,8.0,4.285714285714286,100.0,0.00321701977069361,6.048075358196108,0.00321701977069361,6.423137467934478,8,0.37506210973837084,11.964285714285714,0.7556072923031768,0.8024900560204731,0.8094870477042045,0.8094870477042045,0.6658076999681306,0.790828403214254,1.9974230999043918,2.372485209642762,0.7999999999999999,11.964285714285714,0.7556072923031768,0.8024900560204731,1.0,1.0,0.0,0.0,100.0,84.25092730343266,84.25597132557674,72.72727272727268,74.81132075471699,83.20909842219982,1,100.0,65.78719477893945,65.7347771520588,72.72727272727268,74.81132075471699,75.81211308259758,3
6,Tray 6,Microbes,Heat,Dynamic Heat,Dynamic Heat,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,7,7,2026-07-07,8.0,4.285714285714286,97.14285714285714,0.004187805920130897,7.1600830071744195,0.004187805920130897,7.1600830071744195,0,0.0,11.607142857142856,0.8944869001567861,0.8944869001567861,0.9903461648481848,0.9903461648481848,0.734721459004455,0.734721459004455,2.204164377013365,2.204164377013365,0.6037735849056605,11.607142857142856,0.8944869001567861,0.8944869001567861,1.0,1.0,0.0,0.0,59.99999999999992,100.0,100.0,54.54545454545446,91.74973300106798,81.25903750930446,2,59.99999999999992,80.33383979359971,80.25993656791258,54.54545454545446,91.74973300106798,73.37779278160693,4
12,Tray 12,No Microbes,Moisture,Inside,Inside,Inside,No Microbes | Moisture,Moisture | Inside,No Microbes | Inside,7,7,2026-07-07,8.0,2.857142857142857,98.57142857142858,0.0013408577032670542,5.860036257077001,0.0013408577032670542,6.421607794667051,9,0.56157153759005,11.964285714285715,0.7323369249217166,0.802533367120473,0.6052985673725002,0.6052985673725002,0.9440675208370776,1.1312580333670945,2.832202562511233,3.3937741001012833,1.0909090909090908,11.964285714285715,0.7323369249217166,0.802533367120473,1.0,1.0,0.0,0.0,80.00000000000016,81.58777882955039,81.61793585744483,72.72727272727278,49.69982847341338,73.12656317753631,3,80.00000000000016,65.7570003984529,65.74161543697912,72.72727272727278,49.69982847341338,66.78514340722367,5
4,Tray 4,No Microbes,Heat,Dynamic Heat,Dynamic Heat,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,7,7,2026-07-07,8.0,5.714285714285714,100.0,0.009600434281425086,3.5739008021188448,0.009600434281425086,4.79059966167318,18,1.2166988595543358,11.785714285714286,0.4455375459796775,0.5976249034239693,0.5814280402376345,0.5814280402376345,0.21905338888308248,0.6246196754011941,0.6571601666492475,1.8738590262035824,0.5081967213114753,11.785714285714286,0.4455375459796775,0.5976249034239693,1.0,1.0,0.0,0.0,100.0,49.20984194447933,49.10504418345745,63.636363636363654,100.0,72.39024995286009,4,100.0,33.56236041032643,33.38911325288968,63.636363636363654,100.0,66.11756745991595,6
11,Tray 11,No Microbes,Heat,Dynamic Heat,Dynamic Heat,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,7,7,2026-07-07,8.0,2.857142857142857,98.57142857142858,0.00147005023581295,2.838797286027042,0.00147005023581295,3.9749684302992234,18,1.1361711442721814,11.964285714285715,0.3546659044739036,0.4966872975079263,0.4889558773332424,0.4889558773332424,0.13084928304167232,0.5095729977990661,0.39254784912501695,1.5287189933971983,0.5409836065573771,11.964285714285715,0.3546659044739036,0.4966872975079263,1.0,1.0,0.0,0.0,80.00000000000016,38.79876363483917,38.80341854042657,72.72727272727278,97.16981132075469,65.49985324465868,5,80.00000000000016,17.462530295466124,17.452318564446255,72.72727272727278,97.16981132075469,56.962386581588,7
7,Tray 7,Microbes,Ideal,Outside,Outside,Outside,Microbes | Ideal,Ideal | Outside,Microbes | Outside,7,7,2026-07-07,8.0,4.285714285714286,97.14285714285714,0.00352622859099841,6.4594685905518405,0.00352622859099841,6.463895969164035,2,0.004427378612194655,11.607142857142856,0.8069927952451053,0.8075462175716296,0.6655874028464936,0.6655874028464936,1.0426684492427911,1.0441442421135227,3.1280053477283736,3.1324327263405682,1.3333333333333335,11.607142857142856,0.8069927952451053,0.8075462175716296,1.0,1.0,0.0,0.0,59.99999999999992,90.07738176100682,90.08126738070494,54.54545454545446,28.773584905660364,64.6955377185653,6,59.99999999999992,66.59173109423821,66.53308228146128,54.54545454545446,28.773584905660364,55.288770565362846,8
9,Tray 9,Microbes,Ideal,Inside,Inside,Inside,Microbes | Ideal,Ideal | Inside,Microbes | Inside,7,7,2026-07-07,8.0,11.428571428571429,95.71428571428572,0.016324103957873273,1.162386730267202,0.016324103957873273,4.045173134197009,36,2.8827864039298072,10.535714285714286,0.1432578282886661,0.503606128779892,0.5069090435425903,0.5069090435425903,-0.4628275304678742,0.4981012708420615,-1.3884825914036227,1.4943038125261845,0.5294117647058822,10.535714285714286,0.1432578282886661,0.503606128779892,1.0,1.0,0.0,0.0,40.00000000000008,15.056200590230553,14.837230380005906,0.0,98.16870144284128,33.61242648261556,12,40.00000000000008,18.848308282552793,18.544716115038185,0.0,98.16870144284128,35.11234516808647,9
3,Tray 3,No Microbes,Moisture,Outside,Outside,Outside,No Microbes | Moisture,Moisture | Outside,No Microbes | Outside,7,7,2026-07-07,8.0,1.4285714285714286,95.71428571428572,0.0007056795348858472,3.631559916637667,0.0007056795348858472,3.6354248011797856,2,0.0038648845421186693,11.785714285714286,0.45385677963784765,0.4543398902056125,0.47915571702771825,0.47915571702771825,0.4116918839880633,0.4129801788354362,1.23507565196419,1.2389405365063086,1.35,11.785714285714286,0.45385677963784765,0.4543398902056125,1.0,1.0,0.0,0.0,40.00000000000008,50.026452861689265,50.04815062858452,63.636363636363654,27.334905660377352,46.209174557402974,9,40.00000000000008,10.760243115759394,10.766188755441156,63.636363636363654,27.334905660377352,30.499540233588327,10
2,Tray 2,No Microbes,Ideal,Outside,Outside,Outside,No Microbes | Ideal,Ideal | Outside,No Microbes | Outside,7,7,2026-07-07,8.0,0.0,92.85714285714286,0.00013778659611992858,4.026672971167273,0.00013778659611992858,4.026672971167273,0,0.0,11.607142857142858,0.5033168980713941,0.5033168980713941,0.5925521366833972,0.5925521366833972,0.3545915003847225,0.3545915003847225,1.0637745011541675,1.0637745011541675,1.2121212121212122,11.607142857142858,0.5033168980713941,0.5033168980713941,,,,,0.0,55.622335430362945,55.655176273983386,54.545454545454554,39.236706689536874,41.01193458786755,10,0.0,18.483131631121445,18.499050177382035,54.545454545454554,39.236706689536874,26.15286860869898,11
