heat_phase,observed_environment,microbe_status,day_order,day,days_since_day1,tray_count,mean_observed_ndvi,mean_adjusted_ndvi,mean_observed_ndre,mean_adjusted_ndre,mean_day7_imputed_cells
Inside baseline,Inside,Microbes,1,Day 1,0,2,0.3286464197295052,0.3286464197295052,-0.021287517022158524,-0.021287517022158524,0.0
Inside baseline,Inside,No Microbes,1,Day 1,0,2,0.3114871086818831,0.3114871086818831,-0.05424261707978851,-0.05424261707978851,0.0
Inside baseline,Inside,Microbes,2,Day 2,1,2,0.3170120836368629,0.3170120836368629,-0.01007486839101016,-0.01007486839101016,0.0
Inside baseline,Inside,No Microbes,2,Day 2,1,2,0.30312962265951293,0.30312962265951293,-0.0413592972035985,-0.0413592972035985,0.0
Moved outside - heat exposure start,Outside,Microbes,3,Day 3,2,2,0.3143549706254687,0.3143549706254687,-0.01737497440522667,-0.01737497440522667,0.0
Moved outside - heat exposure start,Outside,No Microbes,3,Day 3,2,2,0.28414852885263303,0.28414852885263303,-0.06471508967889734,-0.06471508967889734,0.0
Outside heat exposure,Outside,Microbes,4,Day 4,3,2,0.3321924073355538,0.3321924073355538,-0.01822883053298156,-0.01822883053298156,0.0
Outside heat exposure,Outside,No Microbes,4,Day 4,3,2,0.30443129209535463,0.30443129209535463,-0.05281101011538075,-0.05281101011538075,0.0
Outside heat exposure,Outside,Microbes,5,Day 5,4,2,0.30114564374089237,0.30114564374089237,-0.030471139912073564,-0.030471139912073564,0.0
Outside heat exposure,Outside,No Microbes,5,Day 5,4,2,0.3037241527012416,0.3037241527012416,-0.04690762085790209,-0.04690762085790209,0.0
Returned inside - recovery start,Inside,Microbes,6,Day 6,5,2,0.31264151100601467,0.31264151100601467,-0.029041352247233032,-0.029041352247233032,0.0
Returned inside - recovery start,Inside,No Microbes,6,Day 6,5,2,0.29769016589437214,0.29769016589437214,-0.05044091325918474,-0.05044091325918474,0.0
Inside recovery,Inside,Microbes,7,Day 7,8,2,0.3011574015021324,0.29951038413814135,-0.05484931429049794,-0.055819545522120095,4.0
Inside recovery,Inside,No Microbes,7,Day 7,8,2,0.28724353803055624,0.2866110532411507,-0.06758683778877764,-0.059418755254176,18.0
