group,tray_count,mean_day7_observed_ndvi,sd_day7_observed_ndvi,mean_day7_adjusted_ndvi,sd_day7_adjusted_ndvi,mean_day7_observed_ndre,sd_day7_observed_ndre,mean_day7_adjusted_ndre,sd_day7_adjusted_ndre,mean_day7_imputed_cells,sd_day7_imputed_cells,mean_observed_ndvi_rate_day1_to_day7_per_day,sd_observed_ndvi_rate_day1_to_day7_per_day,mean_adjusted_ndvi_rate_day1_to_day7_per_day,sd_adjusted_ndvi_rate_day1_to_day7_per_day,mean_observed_ndre_rate_day1_to_day7_per_day,sd_observed_ndre_rate_day1_to_day7_per_day,mean_adjusted_ndre_rate_day1_to_day7_per_day,sd_adjusted_ndre_rate_day1_to_day7_per_day,mean_observed_ndvi_rate_day6_to_day7_per_day,sd_observed_ndvi_rate_day6_to_day7_per_day,mean_adjusted_ndvi_rate_day6_to_day7_per_day,sd_adjusted_ndvi_rate_day6_to_day7_per_day,mean_observed_ndre_rate_day6_to_day7_per_day,sd_observed_ndre_rate_day6_to_day7_per_day,mean_adjusted_ndre_rate_day6_to_day7_per_day,sd_adjusted_ndre_rate_day6_to_day7_per_day,mean_observed_ndvi_auc,sd_observed_ndvi_auc,mean_adjusted_ndvi_auc,sd_adjusted_ndvi_auc,mean_observed_ndre_auc,sd_observed_ndre_auc,mean_adjusted_ndre_auc,sd_adjusted_ndre_auc,mean_overall_adjusted_ms_score,sd_overall_adjusted_ms_score,group_type
Microbes,6,0.2955577734680403,0.007574314164270459,0.29000272197382787,0.013606923295368308,-0.052108358799125065,0.0069005107488129235,-0.056515756601618734,0.0062453956490756204,15.166666666666666,20.04411800670378,-0.0042454518643873064,0.0016519405102551896,-0.004939833301163853,0.00248726410860509,-0.004111074900819877,0.0018383316770748251,-0.004661999626131587,0.0020486360629311056,-0.004591261619140234,0.0024171532845588574,-0.006442945450544357,0.0030612016373420697,-0.006819270915383681,0.004730388035087807,-0.008288403516214906,0.0034548633213891283,2.4935697710585027,0.02894434701721608,2.4852371938171838,0.030472065079989494,-0.237206429584449,0.045206864148895416,-0.2438175262881895,0.047692644989784434,68.37509681790642,16.776518822560785,Microbe Status
No Microbes,6,0.2880018536533628,0.00794234954897901,0.28167303816548417,0.012402639562184138,-0.06700018980939469,0.011514076523411364,-0.06988038523600798,0.012803068011537851,17.833333333333332,22.021958738192808,-0.0031880348521683886,0.0010359952315490868,-0.003979136788153218,0.0015374016917433038,-0.002139660239381988,0.0006351708951162143,-0.0024996846677086495,0.002226498529792211,-0.0036455115155568187,0.003935400293042083,-0.0057551166781830325,0.003674133406943114,-0.005170675469858068,0.004930671865505972,-0.0061307406120625,0.003573389569689095,2.3845785569399593,0.031522635208996355,2.3750853337081415,0.016211143997601724,-0.41656120698439913,0.0554464911137827,-0.42088150012431913,0.03919164614448971,45.16013393360973,17.61853647954327,Microbe Status
Heat,4,0.2942004697663443,0.011123089433776198,0.293060718689646,0.00985254720128359,-0.06121807603963779,0.008635701824397024,-0.05761915038814805,0.007002762564059432,11.0,8.717797887081348,-0.0032332868049187308,0.0015018881249346482,-0.0033757556895060176,0.001119907147603767,-0.002931626123583034,0.002316708932254985,-0.0024817604171468166,0.002697023377537336,-0.003655122894616364,0.0029153335694873167,-0.004035039920182462,0.0023643492978463964,-0.007158981095476302,0.0036815403490306374,-0.005959339211646388,0.004527716255110475,2.4417351144765105,0.07514595034555269,2.4400254878614627,0.07543019692326507,-0.3311633286398965,0.126453574923543,-0.32576494016266194,0.1205927969130859,68.33472874957208,15.112052272148468,Treatment Type
Ideal,4,0.29227414620774134,0.006089558041402805,0.27618390021047423,0.016026030156610426,-0.05738049303181465,0.011705226862030977,-0.07105159070166071,0.011717860462455735,24.5,28.861739379323623,-0.004137682961300014,0.0020339362673773382,-0.0061489637109584,0.002647270072569726,-0.003841638599825661,0.001800409650486266,-0.00555052580855642,0.0020427190710783113,-0.0030666485074020465,0.0040472434229319905,-0.008430063839824411,0.0033036597324322668,-0.004297607186682787,0.006061933443458665,-0.008854639743298143,0.0015715020482625862,2.460450666105108,0.07086996150664014,2.436315297109208,0.07339055506671055,-0.28077506302145105,0.09596613745406563,-0.3012817095262202,0.10308790897403676,43.678415903419356,24.223478490046464,Treatment Type
Moisture,4,0.288864824708019,0.008807376033322926,0.28826902130884785,0.008872886946739635,-0.060064253841327186,0.017325100473925242,-0.06092347166663131,0.014136394567148798,14.0,21.02379604162864,-0.003779260308614798,0.0007137578932930204,-0.0038537357335111898,0.0010246292844443854,-0.002602837986894102,0.0006960939691927442,-0.002710240215057117,0.0008317867798108715,-0.0056333883000271685,0.0025968778668793205,-0.005831989433084212,0.0030109301136270403,-0.006528331295703535,0.004919688511007297,-0.006814737237471576,0.004118336980398886,2.4150367114160742,0.05359968482944538,2.4141430063173175,0.05020734857634915,-0.36871306319192465,0.10151878446202989,-0.3700018899298808,0.09642533402553043,58.28970147428281,17.32920903751013,Treatment Type
Microbes | Heat,2,0.3011574015021324,0.012484114789392337,0.29951038413814135,0.010154880495772215,-0.05484931429049794,0.00712042247893668,-0.055819545522120095,0.005748308312538673,4.0,5.656854249492381,-0.0034361272784216024,0.0021381363806802405,-0.003642004448920485,0.0018469820939777228,-0.004195224658542426,0.0030537303870545665,-0.004316503562495197,0.0028822161162548143,-0.0038280365012940964,0.004644919077891517,-0.0043770422892911165,0.003868507646684803,-0.008602654014421635,0.005511966750046976,-0.008926064424962356,0.005054595361247639,2.506047439468758,0.018863809039928438,2.503576913422772,0.022357660480358237,-0.22715024768258418,0.054696707024175326,-0.22860559453001744,0.05675487827377236,78.63548499672005,11.648169685726458,Microbe x Treatment
Microbes | Ideal,2,0.29053757776107103,0.002664769268251285,0.27923915748085293,0.01832300912895903,-0.054601603812937174,0.0049934461133531996,-0.062370160533464454,0.005693229278759664,19.0,24.041630560342615,-0.0057084005192986585,0.0012239139431067495,-0.007120703054325925,0.003181193925695215,-0.005287406432320751,0.0006987454930400834,-0.006258476022386661,0.002034579917054191,-0.005213488035258794,0.0023391545579135773,-0.008979628128664837,0.0028802587289889973,-0.007071547269532898,0.004869342310305513,-0.009661066176375323,0.0013071171796012237,2.5153695508305516,0.0014046761128874792,2.498421920410224,0.02489203590394885,-0.2026112172859612,0.02254003459070757,-0.2142640523667521,0.038570047678876875,56.133742536596785,26.019624542309852,Microbe x Treatment
Microbes | Moisture,2,0.29497834114091737,0.003179493074571151,0.29125862430248944,0.008439967075663489,-0.04687415829394008,0.00895535579085358,-0.05135756374927167,0.0026148629903061274,22.5,31.81980515339464,-0.0035918277954416593,0.0010630361108025707,-0.0040567924002451496,0.0017205953609391131,-0.002850593611596453,0.0010604253700279126,-0.0034110192935129014,0.0002678637699594812,-0.004732260320867812,0.00043256775731462265,-0.005972165933677119,0.001320923576382824,-0.004783611462196509,0.006558549133128447,-0.006278079947307037,0.004445051532945963,2.4592923228761983,0.014809712788395235,2.453712747618556,0.022700423790033546,-0.2818578237848016,0.011623892950833084,-0.288582931967799,0.021134632151654256,70.35606292040245,8.743918276665362,Microbe x Treatment
No Microbes | Heat,2,0.28724353803055624,0.004660540405893509,0.2866110532411507,0.004658725532491734,-0.06758683778877764,0.003283461108633374,-0.059418755254176,0.01005577900684226,18.0,0.0,-0.003030446331415859,0.0014250612640540282,-0.0031095069300915504,0.0002601530217558727,-0.001668027588623642,0.0006240404821352331,-0.0006470172717984368,0.00022249925514087837,-0.0034822092879386313,0.0019500358362043487,-0.003693037551073808,0.0011563861432573991,-0.0057153081765309675,0.0013937986165203007,-0.0029926139983304212,0.000863640682882663,2.377422789484262,0.00637163125736672,2.3764740623001543,0.020350530164944664,-0.4351764095972088,0.04129050777859476,-0.42292428579530644,0.051448984625908065,58.03397250242409,11.181243112835627,Microbe x Treatment
No Microbes | Ideal,2,0.2940107146544116,0.009596065667029441,0.27312864294009553,0.01993564336180391,-0.06015938225069212,0.018847111248801462,-0.07973302086985698,0.008834193951411268,30.0,42.42640687119285,-0.002566965403301369,0.0010218171515034196,-0.0051772243675908755,0.002669646477100749,-0.0023958707673305715,0.0009355217596283946,-0.00484257559472618,0.002524641390398196,-0.0009198089795453,0.005023267272813401,-0.007880499550983985,0.004820635736797716,-0.0015236671038326756,0.007466702240672687,-0.008048213310220964,0.001760399492731556,2.4055317813796653,0.05478453813741453,2.3742086738081913,0.010486974594164705,-0.358938908756941,0.05178897888124178,-0.3882993666856883,0.010267021080922667,31.22308927024192,21.512071564447275,Microbe x Treatment
No Microbes | Moisture,2,0.28275130827512057,0.00854986016637301,0.2852794183152062,0.011366636258463668,-0.07325434938871431,0.011151880548016722,-0.07048937958399096,0.01505486859732272,5.5,4.949747468305833,-0.003966692821787937,0.0005077218036153466,-0.00365067906677723,0.00015562479210401168,-0.0023550823621917506,0.0002891488857908376,-0.002009461136601333,0.00019872462037241157,-0.006534516279186525,0.004098302400079766,-0.005691812932491306,0.0050372277641099914,-0.008273051129210562,0.004173637408139398,-0.007351394527636113,0.005474633424574729,2.37078109995595,0.023774239540625314,2.374573265016079,0.027999403678761314,-0.4555683025990477,0.02465249396586871,-0.45142084789196263,0.030506976039827736,46.223340028163165,15.558278715030008,Microbe x Treatment
Heat | Dynamic Heat,4,0.2942004697663443,0.011123089433776198,0.293060718689646,0.00985254720128359,-0.06121807603963779,0.008635701824397024,-0.05761915038814805,0.007002762564059432,11.0,8.717797887081348,-0.0032332868049187308,0.0015018881249346482,-0.0033757556895060176,0.001119907147603767,-0.002931626123583034,0.002316708932254985,-0.0024817604171468166,0.002697023377537336,-0.003655122894616364,0.0029153335694873167,-0.004035039920182462,0.0023643492978463964,-0.007158981095476302,0.0036815403490306374,-0.005959339211646388,0.004527716255110475,2.4417351144765105,0.07514595034555269,2.4400254878614627,0.07543019692326507,-0.3311633286398965,0.126453574923543,-0.32576494016266194,0.1205927969130859,68.33472874957208,15.112052272148468,Treatment x Environment
Ideal | Inside,2,0.29472472955073625,0.008586296116910658,0.2626574239028352,0.005127103384730996,-0.04895158314279143,0.002996889746055236,-0.07618781044127114,0.013847878620983895,48.0,16.97056274847714,-0.004209134967199393,0.0033441956204843166,-0.008217548173187029,0.0016300206827791121,-0.003757925547961347,0.002861758103091548,-0.0071624539602713104,0.0007561620572116565,-0.0004636393061705859,0.004378145933983575,-0.011152741188804282,0.0001929872332303029,6.384319082523501e-05,0.0052216236515605615,-0.009014899242001335,0.00039329913745248223,2.479323297313281,0.04957242448397523,2.4312223388414296,0.0701425237364375,-0.27043399959625897,0.07337586399039354,-0.3112883405439785,0.09864301654095227,26.87342358422626,15.360715359495053,Treatment x Environment
Ideal | Outside,2,0.28982356286474636,0.003674538818370106,0.28971037651811327,0.0035144691518861158,-0.06580940292083787,0.01085677538939302,-0.0659153709620503,0.010706913948332288,1.0,1.4142135623730951,-0.004066230955400634,0.0010984645258741473,-0.0040803792487297715,0.0011184732341846463,-0.003925351651689975,0.0012274908504230696,-0.003938597656841529,0.0012462235305556615,-0.005669657708633508,0.0016940332190837515,-0.00570738649084454,0.0017473897745784149,-0.008659057564190808,0.0026242637211933866,-0.008694380244594952,0.002674217534880297,2.441578034896936,0.10576163873427724,2.4414082553769862,0.10552153423455136,-0.2911161264466432,0.1477048774623429,-0.29127507850846185,0.14748008530075182,60.483408222612454,19.868268337357637,Treatment x Environment
Moisture | Inside,2,0.2907635362020561,0.002781141232723638,0.2893037551215717,0.005675364567344422,-0.05295527225825931,0.017555349633530254,-0.05467627815295206,0.007308233909633883,27.0,25.45584412271571,-0.004334607095058472,1.2587551434485254e-05,-0.0045170797301190176,0.0010696507764429903,-0.002330150570807224,0.0003244077633010917,-0.0025452763076438184,0.0009564817021859545,-0.004031483793542502,0.0005584799118215491,-0.00451807748703729,0.0033773151785108963,-0.0027339303555587884,0.003659862313581489,-0.00330759898712304,0.0002441570722826998,2.418206150244389,0.04329490977351105,2.4160164786236624,0.03061015107340882,-0.3641067571283718,0.10469366407436456,-0.36668826597041093,0.08932299048852001,60.698941711991296,4.913313509750546,Treatment x Environment
Moisture | Outside,2,0.2869661132139819,0.014510494473667798,0.287234287496124,0.014131238766782775,-0.06717323542439507,0.0197518743906934,-0.06717066518031056,0.019748239516650477,1.0,1.4142135623730951,-0.003223913522171124,0.000542726755752739,-0.003190391736903362,0.0004953197923921112,-0.0028755254029809796,0.001025166492517659,-0.002875204122470416,0.0010256208517730244,-0.007235292806511834,0.0031072547309435945,-0.007145901379131134,0.0029808361619819194,-0.010322732235848281,0.0012749505885924412,-0.010321875487820112,0.0012737389639114658,2.411867272587759,0.0818788621025316,2.4122695340109725,0.081309978542204,-0.3733193692554775,0.14097005099106635,-0.3733155138893507,0.140964598680002,55.88046123657432,29.215510501445916,Treatment x Environment
Microbes | Dynamic Heat,2,0.3011574015021324,0.012484114789392337,0.29951038413814135,0.010154880495772215,-0.05484931429049794,0.00712042247893668,-0.055819545522120095,0.005748308312538673,4.0,5.656854249492381,-0.0034361272784216024,0.0021381363806802405,-0.003642004448920485,0.0018469820939777228,-0.004195224658542426,0.0030537303870545665,-0.004316503562495197,0.0028822161162548143,-0.0038280365012940964,0.004644919077891517,-0.0043770422892911165,0.003868507646684803,-0.008602654014421635,0.005511966750046976,-0.008926064424962356,0.005054595361247639,2.506047439468758,0.018863809039928438,2.503576913422772,0.022357660480358237,-0.22715024768258418,0.054696707024175326,-0.22860559453001744,0.05675487827377236,78.63548499672005,11.648169685726458,Microbe x Environment
