combined_rank,tray_no,tray,microbe_status,treatment,fixed_environment,environment_group,microbe_treatment,treatment_environment,microbe_environment,combined_rgb_ms_score,rgb_score_normalised,ms_score_normalised,rgb_ms_score_difference,evidence_agreement,rgb_final_visible_emergence_percent,rgb_day7_observed_green_cover,rgb_day7_adjusted_green_cover,rgb_growth_rate_day1_to_day7_per_day,rgb_day7_imputed_cells,ms_day7_observed_ndvi,ms_day7_adjusted_ndvi,ms_day7_observed_ndre,ms_day7_adjusted_ndre,ms_adjusted_ndvi_rate_day1_to_day7_per_day,ms_adjusted_ndre_rate_day1_to_day7_per_day,ms_day7_imputed_cells,total_day7_adjusted_cells,rgb_source_score_note,final_interpretation
1,8,Tray 8,Microbes,Heat,Dynamic Heat,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,81.3420489262532,75.81211308259758,86.8719847699088,-11.05987168731123,RGB and MS broadly agree,,,,,8,0.3099850037268229,0.3066909689988408,-0.0498144152707286,-0.051754877733973,-0.0023359908855387,-0.0022784690018462,8,16,Direct RGB score column used,Tray 8 showed strong overall performance. The evidence pattern was classified as: RGB and MS broadly agree.
2,5,Tray 5,Microbes,Moisture,Inside,Inside,Microbes | Moisture,Moisture | Inside,Microbes | Inside,72.89304138071998,81.61290374860857,64.17317901283138,17.43972473577719,RGB stronger than MS,,,,,45,0.2927301000271524,0.2852906663502966,-0.0405417654862892,-0.0495085763969524,-0.0052734370476433,-0.0032216110053403,45,90,Direct RGB score column used,Tray 5 showed moderate overall performance. The evidence pattern was classified as: RGB stronger than MS.
3,6,Tray 6,Microbes,Heat,Dynamic Heat,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,71.88838900256911,73.37779278160693,70.3989852235313,2.97880755807563,RGB and MS broadly agree,,,,,0,0.2923297992774418,0.2923297992774418,-0.0598842133102671,-0.0598842133102671,-0.0049480180123022,-0.0063545381231441,0,0,Direct RGB score column used,Tray 6 showed moderate overall performance. The evidence pattern was classified as: RGB and MS broadly agree.
4,7,Tray 7,Microbes,Ideal,Outside,Outside,Microbes | Ideal,Ideal | Outside,Microbes | Outside,64.91058302987743,55.288770565362846,74.532395494392,-19.24362492902916,MS stronger than RGB,,,,,2,0.292421854180949,0.2921954814876829,-0.0581325034211788,-0.0583444395036037,-0.0048712592571973,-0.0048198107661716,2,4,Direct RGB score column used,Tray 7 showed moderate overall performance. The evidence pattern was classified as: MS stronger than RGB.
5,12,Tray 12,No Microbes,Moisture,Inside,Inside,No Microbes | Moisture,Moisture | Inside,No Microbes | Inside,62.00492390918744,66.78514340722367,57.22470441115121,9.560438996072463,RGB and MS broadly agree,,,,,9,0.2887969723769596,0.2933168438928468,-0.0653687790302293,-0.0598439799089516,-0.0037607224125947,-0.0018689416099472,9,18,Direct RGB score column used,Tray 12 showed moderate overall performance. The evidence pattern was classified as: RGB and MS broadly agree.
6,11,Tray 11,No Microbes,Heat,Dynamic Heat,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,61.45134595559678,56.962386581588,65.94030532960555,-8.97791874801755,RGB and MS broadly agree,,,,,18,0.283948038305555,0.2899052696568625,-0.0652650801731006,-0.0523082457283245,-0.0032934628959212,-0.0004896865396793,18,36,Direct RGB score column used,Tray 11 showed moderate overall performance. The evidence pattern was classified as: RGB and MS broadly agree.
7,4,Tray 4,No Microbes,Heat,Dynamic Heat,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,58.12260356757929,66.11756745991595,50.12763967524264,15.989927784673306,RGB stronger than MS,,,,,18,0.2905390377555574,0.2833168368254389,-0.0699085954044546,-0.0665292647800274,-0.0029255509642618,-0.0008043480039175,18,36,Direct RGB score column used,Tray 4 showed moderate overall performance. The evidence pattern was classified as: RGB stronger than MS.
8,1,Tray 1,No Microbes,Ideal,Inside,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,56.79780751599948,97.583857442348,16.01175758965095,81.57209985269705,RGB stronger than MS,,,,,60,0.3007961577602795,0.2590320143316474,-0.0468324620808873,-0.085979739319217,-0.0070649494949195,-0.0066277666419409,60,120,Direct RGB score column used,Tray 1 showed moderate overall performance. The evidence pattern was classified as: RGB stronger than MS.
9,10,Tray 10,Microbes,Moisture,Outside,Outside,Microbes | Moisture,Moisture | Outside,Microbes | Outside,47.72401886853223,18.909090909090928,76.53894682797352,-57.62985591888259,MS stronger than RGB,,,,,0,0.2972265822546823,0.2972265822546823,-0.0532065511015908,-0.0532065511015908,-0.0028401477528469,-0.0036004275816854,0,0,Direct RGB score column used,Tray 10 showed weak-to-moderate overall performance. The evidence pattern was classified as: MS stronger than RGB.
10,9,Tray 9,Microbes,Ideal,Inside,Inside,Microbes | Ideal,Ideal | Inside,Microbes | Inside,36.42371737344402,35.11234516808647,37.73508957880157,-2.6227444107151,RGB and MS broadly agree,,,,,36,0.288653301341193,0.266282833474023,-0.0510707042046955,-0.0663958815633252,-0.0093701468514544,-0.0076971412786016,36,72,Direct RGB score column used,Tray 9 showed weak-to-moderate overall performance. The evidence pattern was classified as: RGB and MS broadly agree.
11,2,Tray 2,No Microbes,Ideal,Outside,Outside,No Microbes | Ideal,Ideal | Outside,No Microbes | Outside,36.29364477976594,26.15286860869898,46.434420950832894,-20.281552342133914,MS stronger than RGB,,,,,0,0.2872252715485436,0.2872252715485436,-0.0734863024204968,-0.0734863024204968,-0.0032894992402621,-0.0030573845475113,0,0,Direct RGB score column used,Tray 2 showed weak-to-moderate overall performance. The evidence pattern was classified as: MS stronger than RGB.
