group_type,group,tray_count,trays,mean_combined_rgb_ms_score,mean_rgb_score,mean_ms_score,mean_rgb_final_visible_emergence_percent,mean_rgb_day7_adjusted_green_cover,mean_ms_day7_adjusted_ndvi,mean_ms_day7_adjusted_ndre,mean_total_day7_adjusted_cells,best_tray_in_group,group_rank_within_type
Environment Group,Dynamic Heat,4,"Tray 4, Tray 6, Tray 8, Tray 11",68.20109686299959,68.0674649764271,68.33472874957206,,,0.293060718689646,-0.05761915038814801,22.0,Tray 8,1
Environment Group,Inside,4,"Tray 1, Tray 5, Tray 9, Tray 12",57.02987254483772,70.27356244156668,43.78618264810878,,,0.27598058951220344,-0.06543204429711155,75.0,Tray 5,2
Environment Group,Outside,4,"Tray 2, Tray 3, Tray 7, Tray 10",45.44725115438933,32.71256757918527,58.18193472959339,,,0.2884723320071186,-0.06654301807118038,2.0,Tray 7,3
Microbe Status,Microbes,6,"Tray 5, Tray 6, Tray 7, Tray 8, Tray 9, Tray 10",62.530299763565985,56.68550270922555,68.37509681790644,,,0.29000272197382787,-0.0565157566016187,30.333333333333332,Tray 8,1
Microbe Status,No Microbes,6,"Tray 1, Tray 2, Tray 3, Tray 4, Tray 11, Tray 12",51.255180611251774,57.35022728889382,45.16013393360973,,,0.2816730381654841,-0.06988038523600792,35.666666666666664,Tray 12,2
Microbe x Environment,Microbes | Dynamic Heat,2,"Tray 6, Tray 8",76.61521896441116,74.59495293210225,78.63548499672005,,,0.2995103841381413,-0.055819545522120054,8.0,Tray 8,1
Microbe x Environment,No Microbes | Dynamic Heat,2,"Tray 4, Tray 11",59.786974761588034,61.53997702075198,58.03397250242409,,,0.28661105324115066,-0.05941875525417595,36.0,Tray 11,2
Microbe x Environment,No Microbes | Inside,2,"Tray 1, Tray 12",59.40136571259346,82.18450042478584,36.61823100040108,,,0.2761744291122471,-0.0729118596140843,69.0,Tray 12,3
Microbe x Environment,Microbes | Outside,2,"Tray 7, Tray 10",56.31730094920483,37.09893073722689,75.53567116118276,,,0.2947110318711826,-0.05577549530259725,2.0,Tray 7,4
Microbe x Environment,Microbes | Inside,2,"Tray 5, Tray 9",54.658379377082,58.362624458347526,50.95413429581647,,,0.2757867499121598,-0.0579522289801388,81.0,Tray 5,5
Microbe x Environment,No Microbes | Outside,2,"Tray 2, Tray 3",34.577201359573834,28.326204421143654,40.82819829800401,,,0.28223363214305464,-0.07731054083976349,2.0,Tray 2,6
Microbe x Treatment,Microbes | Heat,2,"Tray 6, Tray 8",76.61521896441116,74.59495293210225,78.63548499672005,,,0.2995103841381413,-0.055819545522120054,8.0,Tray 8,1
Microbe x Treatment,Microbes | Moisture,2,"Tray 5, Tray 10",60.3085301246261,50.260997328849754,70.35606292040245,,,0.29125862430248944,-0.0513575637492716,45.0,Tray 5,2
Microbe x Treatment,No Microbes | Heat,2,"Tray 4, Tray 11",59.786974761588034,61.53997702075198,58.03397250242409,,,0.28661105324115066,-0.05941875525417595,36.0,Tray 11,3
Microbe x Treatment,Microbes | Ideal,2,"Tray 7, Tray 9",50.667150201660725,45.20055786672466,56.133742536596785,,,0.27923915748085293,-0.06237016053346445,38.0,Tray 7,4
Microbe x Treatment,No Microbes | Moisture,2,"Tray 3, Tray 12",47.432840924284584,48.642341820406,46.223340028163165,,,0.2852794183152062,-0.0704893795839909,11.0,Tray 12,5
Microbe x Treatment,No Microbes | Ideal,2,"Tray 1, Tray 2",46.54572614788271,61.86836302552349,31.22308927024192,,,0.27312864294009553,-0.0797330208698569,60.0,Tray 1,6
Treatment Type,Heat,4,"Tray 4, Tray 6, Tray 8, Tray 11",68.20109686299959,68.0674649764271,68.33472874957206,,,0.293060718689646,-0.05761915038814801,22.0,Tray 8,1
Treatment Type,Moisture,4,"Tray 3, Tray 5, Tray 10, Tray 12",53.87068552445534,49.45166957462788,58.28970147428281,,,0.2882690213088478,-0.06092347166663125,28.0,Tray 5,2
Treatment Type,Ideal,4,"Tray 1, Tray 2, Tray 7, Tray 9",48.60643817477172,53.53446044612408,43.678415903419356,,,0.27618390021047423,-0.07105159070166067,49.0,Tray 7,3
Treatment x Environment,Heat | Dynamic Heat,4,"Tray 4, Tray 6, Tray 8, Tray 11",68.20109686299959,68.0674649764271,68.33472874957206,,,0.293060718689646,-0.05761915038814801,22.0,Tray 8,1
Treatment x Environment,Moisture | Inside,2,"Tray 5, Tray 12",67.4489826449537,74.19902357791612,60.698941711991296,,,0.2893037551215717,-0.054676278152952,54.0,Tray 5,2
Treatment x Environment,Ideal | Outside,2,"Tray 2, Tray 7",50.602113904821685,40.72081958703092,60.483408222612454,,,0.28971037651811327,-0.06591537096205025,2.0,Tray 7,3
Treatment x Environment,Ideal | Inside,2,"Tray 1, Tray 9",46.61076244472175,66.34810130521724,26.87342358422626,,,0.2626574239028352,-0.0761878104412711,96.0,Tray 1,4
Treatment x Environment,Moisture | Outside,2,"Tray 3, Tray 10",40.29238840395698,24.704315571339627,55.88046123657432,,,0.28723428749612395,-0.06717066518031051,2.0,Tray 10,5
